sample_code,event_code,event_label,station_code,station_type,sample_suffix,matrix,collection_date,replicate_group,qa_flag,Ca_mg_L,Mg_mg_L,K_mg_L,Na_mg_L,temp_C,pH,EC_uS_cm,TDS_mg_L,NO3_mg_L,Cl_mg_L,SO4_mg_L,HCO3_mg_L,d15N_NO3_permil,d18O_NO3_permil,d2H_H2O_permil,d18O_H2O_permil
E1-BH2-W,E1,E1-DRY,BH2,borehole,W,groundwater,2024-02-10,,OK,,,,,27.02,6.87,484.5,353.3,,,,,,,-1.89,-1.52
E1-BH3-A,E1,E1-DRY,BH3,borehole,A,groundwater,2024-02-10,,OK,57.16,21.88,5.82,27.17,26.78,6.44,529.1,339.3,,,,,,,,
E1-BH3-U,E1,E1-DRY,BH3,borehole,U,groundwater,2024-02-10,,OK,,,,,26.78,6.44,529.1,339.3,26.3,38.77,44.18,278.67,,,,
E1-BH3-I,E1,E1-DRY,BH3,borehole,I,groundwater,2024-02-10,,OK,,,,,26.78,6.44,529.1,339.3,,,,,7.94,12.21,,
E1-BH3-W,E1,E1-DRY,BH3,borehole,W,groundwater,2024-02-10,,OK,,,,,26.78,6.44,529.1,339.3,,,,,,,-2.73,-1.6
E1-BH4-A,E1,E1-DRY,BH4,borehole,A,groundwater,2024-02-10,,OK,66.85,23.83,7.22,30.51,28.16,6.96,629.3,439.5,,,,,,,,
E1-BH4-U,E1,E1-DRY,BH4,borehole,U,groundwater,2024-02-10,,OK,,,,,28.16,6.96,629.3,439.5,28.92,44.47,51.22,272.74,,,,
E1-BH4-I,E1,E1-DRY,BH4,borehole,I,groundwater,2024-02-10,,OK,,,,,28.16,6.96,629.3,439.5,,,,,7.59,11.07,,
E1-BH4-W,E1,E1-DRY,BH4,borehole,W,groundwater,2024-02-10,,OK,,,,,28.16,6.96,629.3,439.5,,,,,,,0.54,-1.32
E2-L1-A,E2,E2,L1,lysimeter,A,soil_water,2024-05-25,,OK,32.0,9.88,4.63,13.12,26.01,6.74,307.3,196.9,,,,,,,,
E2-L1-U,E2,E2,L1,lysimeter,U,soil_water,2024-05-25,,OK,,,,,26.01,6.74,307.3,196.9,71.16,19.66,23.53,169.05,,,,
E2-L1-I,E2,E2,L1,lysimeter,I,soil_water,2024-05-25,,OK,,,,,26.01,6.74,307.3,196.9,,,,,5.59,15.77,,
E2-L1-W,E2,E2,L1,lysimeter,W,soil_water,2024-05-25,,OK,,,,,26.01,6.74,307.3,196.9,,,,,,,-14.47,-2.99
E2-L2-A,E2,E2,L2,lysimeter,A,soil_water,2024-05-25,,OK,33.92,10.22,5.33,15.68,24.58,6.61,311.6,177.1,,,,,,,,
E2-L2-U,E2,E2,L2,lysimeter,U,soil_water,2024-05-25,,OK,,,,,24.58,6.61,311.6,177.1,81.73,22.19,24.65,164.4,,,,
E2-L2-I,E2,E2,L2,lysimeter,I,soil_water,2024-05-25,,OK,,,,,24.58,6.61,311.6,177.1,,,,,5.59,15.16,,
E2-L2-W,E2,E2,L2,lysimeter,W,soil_water,2024-05-25,,OK,,,,,24.58,6.61,311.6,177.1,,,,,,,-14.06,-2.78
E2-BH1-A,E2,E2,BH1,borehole,A,groundwater,2024-05-25,,OK,43.53,17.53,6.25,19.88,25.49,7.11,480.4,314.1,,,,,,,,
E2-BH1-U,E2,E2,BH1,borehole,U,groundwater,2024-05-25,,OK,,,,,25.49,7.11,480.4,314.1,26.65,32.2,32.16,216.36,,,,
E2-BH1-I,E2,E2,BH1,borehole,I,groundwater,2024-05-25,,OK,,,,,25.49,7.11,480.4,314.1,,,,,5.37,15.65,,
E2-BH1-W,E2,E2,BH1,borehole,W,groundwater,2024-05-25,,OK,,,,,25.49,7.11,480.4,314.1,,,,,,,-14.94,-3.22
E2-BH2-A,E2,E2,BH2,borehole,A,groundwater,2024-05-25,,OK,45.63,16.53,6.05,26.62,24.78,6.78,485.3,319.5,,,,,,,,
E2-BH2-U,E2,E2,BH2,borehole,U,groundwater,2024-05-25,,OK,,,,,24.78,6.78,485.3,319.5,28.4,35.79,43.51,229.06,,,,
E2-BH2-I,E2,E2,BH2,borehole,I,groundwater,2024-05-25,,OK,,,,,24.78,6.78,485.3,319.5,,,,,5.39,15.82,,
E2-BH2-W,E2,E2,BH2,borehole,W,groundwater,2024-05-25,,OK,,,,,24.78,6.78,485.3,319.5,,,,,,,-9.56,-2.66
E2-BH3-A,E2,E2,BH3,borehole,A,groundwater,2024-05-25,,OK,59.93,18.85,6.92,26.36,25.39,7.09,588.0,358.9,,,,,,,,
E2-BH3-U,E2,E2,BH3,borehole,U,groundwater,2024-05-25,,OK,,,,,25.39,7.09,588.0,358.9,38.94,40.67,46.45,296.95,,,,
E2-BH3-I,E2,E2,BH3,borehole,I,groundwater,2024-05-25,,OK,,,,,25.39,7.09,588.0,358.9,,,,,6.19,17.75,,
E2-BH3-W,E2,E2,BH3,borehole,W,groundwater,2024-05-25,,OK,,,,,25.39,7.09,588.0,358.9,,,,,,,-8.96,-2.53
E2-BH4-A,E2,E2,BH4,borehole,A,groundwater,2024-05-25,,OK,59.22,23.09,6.49,36.86,24.24,6.87,607.6,378.6,,,,,,,,
E2-BH4-U,E2,E2,BH4,borehole,U,groundwater,2024-05-25,,OK,,,,,24.24,6.87,607.6,378.6,45.0,48.19,50.6,307.94,,,,
E2-BH4-I,E2,E2,BH4,borehole,I,groundwater,2024-05-25,,OK,,,,,24.24,6.87,607.6,378.6,,,,,5.24,17.83,,
E2-BH4-W,E2,E2,BH4,borehole,W,groundwater,2024-05-25,,OK,,,,,24.24,6.87,607.6,378.6,,,,,,,-11.3,-2.55
E3-L1-A,E3,E3-POST1,L1,lysimeter,A,soil_water,2024-08-20,,OK,28.86,11.18,4.07,13.45,26.73,6.26,328.9,188.5,,,,,,,,
E3-L1-U,E3,E3-POST1,L1,lysimeter,U,soil_water,2024-08-20,,OK,,,,,26.73,6.26,328.9,188.5,55.54,23.18,22.94,154.29,,,,
E3-L1-I,E3,E3-POST1,L1,lysimeter,I,soil_water,2024-08-20,,OK,,,,,26.73,6.26,328.9,188.5,,,,,7.17,17.57,,
E3-L1-W,E3,E3-POST1,L1,lysimeter,W,soil_water,2024-08-20,,OK,,,,,26.73,6.26,328.9,188.5,,,,,,,-14.41,-3.13
E3-L2-A,E3,E3-POST1,L2,lysimeter,A,soil_water,2024-08-20,,OK,32.65,12.34,4.9,17.98,25.83,6.42,287.1,204.2,,,,,,,,
E3-L2-U,E3,E3-POST1,L2,lysimeter,U,soil_water,2024-08-20,,OK,,,,,25.83,6.42,287.1,204.2,61.38,25.35,22.11,165.4,,,,
E3-L2-I,E3,E3-POST1,L2,lysimeter,I,soil_water,2024-08-20,,OK,,,,,25.83,6.42,287.1,204.2,,,,,3.88,18.33,,
E3-L2-W,E3,E3-POST1,L2,lysimeter,W,soil_water,2024-08-20,,OK,,,,,25.83,6.42,287.1,204.2,,,,,,,-14.57,-3.08
E3-BH1-A,E3,E3-POST1,BH1,borehole,A,groundwater,2024-08-20,,OK,48.68,15.93,5.89,23.82,25.72,6.74,432.4,282.1,,,,,,,,
E3-BH1-U,E3,E3-POST1,BH1,borehole,U,groundwater,2024-08-20,,OK,,,,,25.72,6.74,432.4,282.1,28.53,20.91,33.78,222.39,,,,
E3-BH1-I,E3,E3-POST1,BH1,borehole,I,groundwater,2024-08-20,,OK,,,,,25.72,6.74,432.4,282.1,,,,,5.7,17.8,,
E3-BH1-W,E3,E3-POST1,BH1,borehole,W,groundwater,2024-08-20,,OK,,,,,25.72,6.74,432.4,282.1,,,,,,,-14.61,-3.02
E3-BH2-A,E3,E3-POST1,BH2,borehole,A,groundwater,2024-08-20,,OK,54.0,17.31,6.11,27.01,25.92,7.12,475.3,287.4,,,,,,,,
E3-BH2-U,E3,E3-POST1,BH2,borehole,U,groundwater,2024-08-20,,OK,,,,,25.92,7.12,475.3,287.4,36.69,32.53,37.43,235.96,,,,
E3-BH2-I,E3,E3-POST1,BH2,borehole,I,groundwater,2024-08-20,,OK,,,,,25.92,7.12,475.3,287.4,,,,,6.06,20.73,,
E3-BH2-W,E3,E3-POST1,BH2,borehole,W,groundwater,2024-08-20,,OK,,,,,25.92,7.12,475.3,287.4,,,,,,,-12.39,-2.86
E3-BH3-A,E3,E3-POST1,BH3,borehole,A,groundwater,2024-08-20,,OK,53.61,19.58,6.11,31.23,25.13,6.82,532.6,375.9,,,,,,,,
E3-BH3-U,E3,E3-POST1,BH3,borehole,U,groundwater,2024-08-20,,OK,,,,,25.13,6.82,532.6,375.9,47.12,38.17,42.18,263.0,,,,
E3-BH3-I,E3,E3-POST1,BH3,borehole,I,groundwater,2024-08-20,,OK,,,,,25.13,6.82,532.6,375.9,,,,,5.83,14.36,,
E3-BH3-W,E3,E3-POST1,BH3,borehole,W,groundwater,2024-08-20,,OK,,,,,25.13,6.82,532.6,375.9,,,,,,,-9.99,-2.45
E3-BH4-A,E3,E3-POST1,BH4,borehole,A,groundwater,2024-08-20,,OK,64.84,20.92,7.22,36.68,25.95,6.5,647.9,415.5,,,,,,,,
E3-BH4-U,E3,E3-POST1,BH4,borehole,U,groundwater,2024-08-20,,OK,,,,,25.95,6.5,647.9,415.5,53.34,41.93,50.83,306.08,,,,
E3-BH4-I,E3,E3-POST1,BH4,borehole,I,groundwater,2024-08-20,,OK,,,,,25.95,6.5,647.9,415.5,,,,,6.1,18.88,,
E3-BH4-W,E3,E3-POST1,BH4,borehole,W,groundwater,2024-08-20,,OK,,,,,25.95,6.5,647.9,415.5,,,,,,,-14.65,-3.08
E4-L1-A,E4,E4-POST2,L1,lysimeter,A,soil_water,2024-11-15,,OK,31.41,9.28,5.32,9.79,26.21,6.54,229.3,149.4,,,,,,,,
E4-L1-U,E4,E4-POST2,L1,lysimeter,U,soil_water,2024-11-15,,OK,,,,,26.21,6.54,229.3,149.4,29.0,22.5,16.41,129.23,,,,
E4-L1-I,E4,E4-POST2,L1,lysimeter,I,soil_water,2024-11-15,,OK,,,,,26.21,6.54,229.3,149.4,,,,,7.92,15.01,,
E4-L1-W,E4,E4-POST2,L1,lysimeter,W,soil_water,2024-11-15,,OK,,,,,26.21,6.54,229.3,149.4,,,,,,,-0.91,-1.31
E4-L2-A,E4,E4-POST2,L2,lysimeter,A,soil_water,2024-11-15,,OK,30.38,8.4,4.2,15.2,26.78,6.75,252.6,151.6,,,,,,,,
E4-L2-U,E4,E4-POST2,L2,lysimeter,U,soil_water,2024-11-15,,OK,,,,,26.78,6.75,252.6,151.6,38.32,22.77,16.63,148.73,,,,
E4-L2-I,E4,E4-POST2,L2,lysimeter,I,soil_water,2024-11-15,,OK,,,,,26.78,6.75,252.6,151.6,,,,,7.64,12.4,,
E4-L2-W,E4,E4-POST2,L2,lysimeter,W,soil_water,2024-11-15,,OK,,,,,26.78,6.75,252.6,151.6,,,,,,,2.63,-1.16
E4-BH1-A,E4,E4-POST2,BH1,borehole,A,groundwater,2024-11-15,,OK,42.7,16.56,6.81,26.79,25.43,6.7,420.2,288.7,,,,,,,,
E4-BH1-U,E4,E4-POST2,BH1,borehole,U,groundwater,2024-11-15,,OK,,,,,25.43,6.7,420.2,288.7,22.87,29.72,35.99,213.5,,,,
E4-BH1-I,E4,E4-POST2,BH1,borehole,I,groundwater,2024-11-15,,OK,,,,,25.43,6.7,420.2,288.7,,,,,7.2,9.33,,
E4-BH1-W,E4,E4-POST2,BH1,borehole,W,groundwater,2024-11-15,,OK,,,,,25.43,6.7,420.2,288.7,,,,,,,-0.51,-1.29
E4-BH2-A,E4,E4-POST2,BH2,borehole,A,groundwater,2024-11-15,,OK,53.27,17.52,6.29,24.5,25.82,6.8,462.2,221.8,,,,,,,,
E4-BH2-U,E4,E4-POST2,BH2,borehole,U,groundwater,2024-11-15,,OK,,,,,25.82,6.8,462.2,221.8,32.88,28.49,35.84,228.97,,,,
E4-BH2-I,E4,E4-POST2,BH2,borehole,I,groundwater,2024-11-15,,OK,,,,,25.82,6.8,462.2,221.8,,,,,8.63,14.74,,
E4-BH2-W,E4,E4-POST2,BH2,borehole,W,groundwater,2024-11-15,,OK,,,,,25.82,6.8,462.2,221.8,,,,,,,1.65,-1.1
E4-BH3-A,E4,E4-POST2,BH3,borehole,A,groundwater,2024-11-15,,OK,55.89,20.57,6.16,30.9,26.81,6.19,561.7,437.0,,,,,,,,
E4-BH3-U,E4,E4-POST2,BH3,borehole,U,groundwater,2024-11-15,,OK,,,,,26.81,6.19,561.7,437.0,39.17,42.69,38.73,271.02,,,,
E4-BH3-I,E4,E4-POST2,BH3,borehole,I,groundwater,2024-11-15,,OK,,,,,26.81,6.19,561.7,437.0,,,,,10.69,15.68,,
E4-BH3-W,E4,E4-POST2,BH3,borehole,W,groundwater,2024-11-15,,OK,,,,,26.81,6.19,561.7,437.0,,,,,,,-2.65,-1.45
E4-BH4-A,E4,E4-POST2,BH4,borehole,A,groundwater,2024-11-15,,OK,64.56,21.53,6.35,34.12,25.52,6.69,582.0,371.5,,,,,,,,
E4-BH4-U,E4,E4-POST2,BH4,borehole,U,groundwater,2024-11-15,,OK,,,,,25.52,6.69,582.0,371.5,41.1,43.39,49.22,297.04,,,,
E4-BH4-I,E4,E4-POST2,BH4,borehole,I,groundwater,2024-11-15,,OK,,,,,25.52,6.69,582.0,371.5,,,,,10.42,14.71,,
E4-BH4-W,E4,E4-POST2,BH4,borehole,W,groundwater,2024-11-15,,OK,,,,,25.52,6.69,582.0,371.5,,,,,,,3.45,-1.08
E5-L1-A,E5,E5,L1,lysimeter,A,soil_water,2025-02-05,,OK,25.97,9.0,3.78,11.33,26.48,6.78,250.3,142.7,,,,,,,,
E5-L1-U,E5,E5,L1,lysimeter,U,soil_water,2025-02-05,,OK,,,,,26.48,6.78,250.3,142.7,21.86,19.92,22.25,153.44,,,,
E5-L1-I,E5,E5,L1,lysimeter,I,soil_water,2025-02-05,,OK,,,,,26.48,6.78,250.3,142.7,,,,,6.63,13.56,,
E5-L1-W,E5,E5,L1,lysimeter,W,soil_water,2025-02-05,,OK,,,,,26.48,6.78,250.3,142.7,,,,,,,-3.57,-1.71
E5-L2-A,E5,E5,L2,lysimeter,A,soil_water,2025-02-05,,OK,34.42,12.08,5.2,12.83,25.61,6.54,259.9,185.9,,,,,,,,
E5-L2-U,E5,E5,L2,lysimeter,U,soil_water,2025-02-05,,OK,,,,,25.61,6.54,259.9,185.9,43.49,19.32,27.17,155.33,,,,
E5-L2-I,E5,E5,L2,lysimeter,I,soil_water,2025-02-05,,OK,,,,,25.61,6.54,259.9,185.9,,,,,7.7,11.74,,
E5-L2-W,E5,E5,L2,lysimeter,W,soil_water,2025-02-05,,OK,,,,,25.61,6.54,259.9,185.9,,,,,,,-3.6,-1.49
E5-BH1-A,E5,E5,BH1,borehole,A,groundwater,2025-02-05,,OK,46.22,16.02,5.92,20.38,26.95,6.5,393.4,277.0,,,,,,,,
E5-BH1-U,E5,E5,BH1,borehole,U,groundwater,2025-02-05,,OK,,,,,26.95,6.5,393.4,277.0,18.08,29.71,29.83,212.73,,,,
E5-BH1-I,E5,E5,BH1,borehole,I,groundwater,2025-02-05,,OK,,,,,26.95,6.5,393.4,277.0,,,,,6.52,12.93,,
E5-BH1-W,E5,E5,BH1,borehole,W,groundwater,2025-02-05,,OK,,,,,26.95,6.5,393.4,277.0,,,,,,,1.02,-1.08
E5-BH2-A,E5,E5,BH2,borehole,A,groundwater,2025-02-05,,OK,46.35,17.95,6.41,26.16,26.49,6.54,434.5,228.9,,,,,,,,
E5-BH2-U,E5,E5,BH2,borehole,U,groundwater,2025-02-05,,OK,,,,,26.49,6.54,434.5,228.9,21.74,37.54,37.04,229.33,,,,
E5-BH2-I,E5,E5,BH2,borehole,I,groundwater,2025-02-05,,OK,,,,,26.49,6.54,434.5,228.9,,,,,7.07,13.71,,
E5-BH2-W,E5,E5,BH2,borehole,W,groundwater,2025-02-05,,OK,,,,,26.49,6.54,434.5,228.9,,,,,,,-4.32,-1.72
E5-BH3-A,E5,E5,BH3,borehole,A,groundwater,2025-02-05,,OK,53.63,21.41,6.42,30.05,26.35,7.06,500.3,305.6,,,,,,,,
E5-BH3-U,E5,E5,BH3,borehole,U,groundwater,2025-02-05,,OK,,,,,26.35,7.06,500.3,305.6,29.33,45.81,34.99,287.2,,,,
E5-BH3-I,E5,E5,BH3,borehole,I,groundwater,2025-02-05,,OK,,,,,26.35,7.06,500.3,305.6,,,,,7.05,8.29,,
E5-BH3-W,E5,E5,BH3,borehole,W,groundwater,2025-02-05,,OK,,,,,26.35,7.06,500.3,305.6,,,,,,,-3.06,-1.77
E5-BH4-A,E5,E5,BH4,borehole,A,groundwater,2025-02-05,,OK,62.41,21.0,7.3,33.49,25.89,6.44,598.3,369.1,,,,,,,,
E5-BH4-U,E5,E5,BH4,borehole,U,groundwater,2025-02-05,,OK,,,,,25.89,6.44,598.3,369.1,37.38,45.79,50.15,293.47,,,,
E5-BH4-I,E5,E5,BH4,borehole,I,groundwater,2025-02-05,,OK,,,,,25.89,6.44,598.3,369.1,,,,,7.72,15.24,,
E5-BH4-W,E5,E5,BH4,borehole,W,groundwater,2025-02-05,,OK,,,,,25.89,6.44,598.3,369.1,,,,,,,0.31,-1.3
E6-L1-A,E6,E6-LATE,L1,lysimeter,A,soil_water,2025-06-10,,OK,32.83,11.07,4.51,12.02,26.86,6.46,303.1,165.1,,,,,,,,
E6-L1-U,E6,E6-LATE,L1,lysimeter,U,soil_water,2025-06-10,,OK,,,,,26.86,6.46,303.1,165.1,54.3,21.33,25.44,129.74,,,,
E6-L1-I,E6,E6-LATE,L1,lysimeter,I,soil_water,2025-06-10,,OK,,,,,26.86,6.46,303.1,165.1,,,,,8.18,20.6,,
E6-L1-W,E6,E6-LATE,L1,lysimeter,W,soil_water,2025-06-10,,OK,,,,,26.86,6.46,303.1,165.1,,,,,,,-16.92,-3.34
E6-L2-A,E6,E6-LATE,L2,lysimeter,A,soil_water,2025-06-10,,OK,33.93,10.88,4.98,13.25,26.66,6.42,255.0,124.1,,,,,,,,
E6-L2-U,E6,E6-LATE,L2,lysimeter,U,soil_water,2025-06-10,,OK,,,,,26.66,6.42,255.0,124.1,48.21,24.04,21.46,156.3,,,,
E6-L2-I,E6,E6-LATE,L2,lysimeter,I,soil_water,2025-06-10,,OK,,,,,26.66,6.42,255.0,124.1,,,,,6.26,16.46,,
E6-L2-W,E6,E6-LATE,L2,lysimeter,W,soil_water,2025-06-10,,OK,,,,,26.66,6.42,255.0,124.1,,,,,,,-16.9,-3.27
E6-BH1-A,E6,E6-LATE,BH1,borehole,A,groundwater,2025-06-10,,OK,46.04,14.66,5.86,24.94,26.29,6.38,399.1,260.8,,,,,,,,
E6-BH1-U,E6,E6-LATE,BH1,borehole,U,groundwater,2025-06-10,,OK,,,,,26.29,6.38,399.1,260.8,21.18,33.73,30.43,201.71,,,,
E6-BH1-I,E6,E6-LATE,BH1,borehole,I,groundwater,2025-06-10,,OK,,,,,26.29,6.38,399.1,260.8,,,,,7.32,21.54,,
E6-BH1-W,E6,E6-LATE,BH1,borehole,W,groundwater,2025-06-10,,OK,,,,,26.29,6.38,399.1,260.8,,,,,,,-13.35,-2.89
E6-BH2-A,E6,E6-LATE,BH2,borehole,A,groundwater,2025-06-10,,OK,43.36,18.32,5.82,28.21,25.28,6.38,499.4,315.5,,,,,,,,
E6-BH2-U,E6,E6-LATE,BH2,borehole,U,groundwater,2025-06-10,,OK,,,,,25.28,6.38,499.4,315.5,28.62,31.19,33.79,231.31,,,,
E6-BH2-I,E6,E6-LATE,BH2,borehole,I,groundwater,2025-06-10,,OK,,,,,25.28,6.38,499.4,315.5,,,,,9.25,17.68,,
E6-BH2-W,E6,E6-LATE,BH2,borehole,W,groundwater,2025-06-10,,OK,,,,,25.28,6.38,499.4,315.5,,,,,,,-14.54,-2.88
E6-BH3-A,E6,E6-LATE,BH3,borehole,A,groundwater,2025-06-10,,OK,49.61,20.87,6.94,31.46,25.27,6.39,521.6,302.1,,,,,,,,
E6-BH3-U,E6,E6-LATE,BH3,borehole,U,groundwater,2025-06-10,,OK,,,,,25.27,6.39,521.6,302.1,35.04,42.49,40.19,292.33,,,,
E6-BH3-I,E6,E6-LATE,BH3,borehole,I,groundwater,2025-06-10,,OK,,,,,25.27,6.39,521.6,302.1,,,,,9.1,18.61,,
E6-BH3-W,E6,E6-LATE,BH3,borehole,W,groundwater,2025-06-10,,OK,,,,,25.27,6.39,521.6,302.1,,,,,,,-10.89,-2.63
E6-BH4-A,E6,E6-LATE,BH4,borehole,A,groundwater,2025-06-10,,OK,60.73,20.88,7.82,32.46,27.56,7.38,566.4,364.5,,,,,,,,
E6-BH4-U,E6,E6-LATE,BH4,borehole,U,groundwater,2025-06-10,,OK,,,,,27.56,7.38,566.4,364.5,40.46,44.79,48.62,302.16,,,,
E6-BH4-I,E6,E6-LATE,BH4,borehole,I,groundwater,2025-06-10,,OK,,,,,27.56,7.38,566.4,364.5,,,,,8.53,19.97,,
E6-BH4-W,E6,E6-LATE,BH4,borehole,W,groundwater,2025-06-10,,OK,,,,,27.56,7.38,566.4,364.5,,,,,,,-9.29,-2.45
E7-L1-A,E7,E7-END,L1,lysimeter,A,soil_water,2025-09-15,,OK,29.22,9.59,3.82,12.45,25.07,6.27,276.0,177.4,,,,,,,,
E7-L1-U,E7,E7-END,L1,lysimeter,U,soil_water,2025-09-15,,OK,,,,,25.07,6.27,276.0,177.4,67.43,23.49,26.35,123.72,,,,
E7-L1-I,E7,E7-END,L1,lysimeter,I,soil_water,2025-09-15,,OK,,,,,25.07,6.27,276.0,177.4,,,,,5.98,16.11,,
E7-L1-W,E7,E7-END,L1,lysimeter,W,soil_water,2025-09-15,,OK,,,,,25.07,6.27,276.0,177.4,,,,,,,-14.14,-2.89
E7-L2-A,E7,E7-END,L2,lysimeter,A,soil_water,2025-09-15,,OK,36.91,11.76,5.01,12.87,25.64,6.67,355.3,219.2,,,,,,,,
E7-L2-U,E7,E7-END,L2,lysimeter,U,soil_water,2025-09-15,,OK,,,,,25.64,6.67,355.3,219.2,67.98,25.56,29.35,193.07,,,,
E7-L2-I,E7,E7-END,L2,lysimeter,I,soil_water,2025-09-15,,OK,,,,,25.64,6.67,355.3,219.2,,,,,6.21,17.78,,
E7-L2-W,E7,E7-END,L2,lysimeter,W,soil_water,2025-09-15,,OK,,,,,25.64,6.67,355.3,219.2,,,,,,,-16.12,-3.23
E7-BH1-A,E7,E7-END,BH1,borehole,A,groundwater,2025-09-15,,OK,48.42,16.63,5.9,23.07,27.05,6.85,449.4,267.9,,,,,,,,
E7-BH1-U,E7,E7-END,BH1,borehole,U,groundwater,2025-09-15,,OK,,,,,27.05,6.85,449.4,267.9,26.59,34.21,30.98,226.37,,,,
E7-BH1-I,E7,E7-END,BH1,borehole,I,groundwater,2025-09-15,,OK,,,,,27.05,6.85,449.4,267.9,,,,,7.12,17.17,,
E7-BH1-W,E7,E7-END,BH1,borehole,W,groundwater,2025-09-15,,OK,,,,,27.05,6.85,449.4,267.9,,,,,,,-12.43,-2.83
E7-BH2-A,E7,E7-END,BH2,borehole,A,groundwater,2025-09-15,,OK,48.3,19.06,6.5,25.05,25.94,7.22,482.4,334.3,,,,,,,,
E7-BH2-U,E7,E7-END,BH2,borehole,U,groundwater,2025-09-15,,OK,,,,,25.94,7.22,482.4,334.3,32.08,37.97,35.93,250.11,,,,
E7-BH2-I,E7,E7-END,BH2,borehole,I,groundwater,2025-09-15,,OK,,,,,25.94,7.22,482.4,334.3,,,,,8.36,22.78,,
E7-BH2-W,E7,E7-END,BH2,borehole,W,groundwater,2025-09-15,,OK,,,,,25.94,7.22,482.4,334.3,,,,,,,-14.49,-2.96
E7-BH3-A,E7,E7-END,BH3,borehole,A,groundwater,2025-09-15,,OK,61.72,18.63,6.61,27.44,25.43,6.77,505.7,325.5,,,,,,,,
E7-BH3-U,E7,E7-END,BH3,borehole,U,groundwater,2025-09-15,,OK,,,,,25.43,6.77,505.7,325.5,38.48,38.61,39.28,252.53,,,,
E7-BH3-I,E7,E7-END,BH3,borehole,I,groundwater,2025-09-15,,OK,,,,,25.43,6.77,505.7,325.5,,,,,8.38,16.96,,
E7-BH3-W,E7,E7-END,BH3,borehole,W,groundwater,2025-09-15,,OK,,,,,25.43,6.77,505.7,325.5,,,,,,,-16.86,-3.33
E7-BH4-A,E7,E7-END,BH4,borehole,A,groundwater,2025-09-15,,OK,68.64,21.67,7.74,32.59,24.84,6.84,641.5,383.3,,,,,,,,
E7-BH4-U,E7,E7-END,BH4,borehole,U,groundwater,2025-09-15,,OK,,,,,24.84,6.84,641.5,383.3,47.24,42.87,52.07,304.48,,,,
E7-BH4-I,E7,E7-END,BH4,borehole,I,groundwater,2025-09-15,,OK,,,,,24.84,6.84,641.5,383.3,,,,,10.33,21.03,,
E7-BH4-W,E7,E7-END,BH4,borehole,W,groundwater,2025-09-15,,OK,,,,,24.84,6.84,641.5,383.3,,,,,,,-10.21,-2.5
