SampleID,PairID,Category,EventCode,Month,Season,Matrix,Station,Latitude,Longitude,Depth_cm,BottleType,InputZone,pH,EC_uScm,TDS_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,Cl_mgL,SO4_mgL,NO3_mgL,d15N_NO3_permil,d18O_NO3_permil,d2H_H2O_permil,d18O_H2O_permil
E1-DRY-AW7-U,E1-DRY-AW7,Routine,E1-DRY,5,dry,groundwater,AW7,10.853,-0.877,,U,supplementary,6.9,1033.0,704.0,,,,,260.0,113.61,8.15,121.1,,,,
E1-DRY-AW7-W,E1-DRY-AW7,Routine,E1-DRY,5,dry,groundwater,AW7,10.853,-0.877,,W,supplementary,6.9,1033.0,704.0,,,,,,,,,,,-17.603483385694872,-3.622855510640752
E1-DRY-AW8-A,E1-DRY-AW8,Routine,E1-DRY,5,dry,groundwater,AW8,10.851,-0.874,,A,supplementary,7.5,604.0,447.0,30.66,19.55,63.65,1.8,,,,,,,,
E1-DRY-AW8-U,E1-DRY-AW8,Routine,E1-DRY,5,dry,groundwater,AW8,10.851,-0.874,,U,supplementary,7.5,604.0,447.0,,,,,201.0,57.7,7.54,53.48,,,,
E1-DRY-AW8-W,E1-DRY-AW8,Routine,E1-DRY,5,dry,groundwater,AW8,10.851,-0.874,,W,supplementary,7.5,604.0,447.0,,,,,,,,,,,-14.84980639243883,-3.703911489339137
E1-DRY-BH1-A,E1-DRY-BH1,Routine,E1-DRY,5,dry,groundwater,BH1,10.878,-0.915,,A,upgradient,8.0,835.0,639.0,107.23,25.94,26.89,7.32,,,,,,,,
E1-DRY-BH1-I,E1-DRY-BH1,Routine,E1-DRY,5,dry,groundwater,BH1,10.878,-0.915,,I,upgradient,8.0,835.0,639.0,,,,,,,,48.8,5.9124586522675,7.052710536884955,,
E1-DRY-BH1-U,E1-DRY-BH1,Routine,E1-DRY,5,dry,groundwater,BH1,10.878,-0.915,,U,upgradient,8.0,835.0,639.0,,,,,254.0,109.55,47.37,48.8,,,,
E1-DRY-BH1-W,E1-DRY-BH1,Routine,E1-DRY,5,dry,groundwater,BH1,10.878,-0.915,,W,upgradient,8.0,835.0,639.0,,,,,,,,,,,-13.779243440245136,-3.4368972523163235
E1-DRY-BH2-A,E1-DRY-BH2,Routine,E1-DRY,5,dry,groundwater,BH2,10.875,-0.91,,A,downgradient,7.2,799.0,543.0,99.59,16.73,21.53,3.7,,,,,,,,
E1-DRY-BH2-I,E1-DRY-BH2,Routine,E1-DRY,5,dry,groundwater,BH2,10.875,-0.91,,I,downgradient,7.2,799.0,543.0,,,,,,,,115.36,11.806405751307926,13.096590764466738,,
E1-DRY-BH2-U,E1-DRY-BH2,Routine,E1-DRY,5,dry,groundwater,BH2,10.875,-0.91,,U,downgradient,7.2,799.0,543.0,,,,,169.0,35.88,76.41,115.36,,,,
E1-DRY-BH2-W,E1-DRY-BH2,Routine,E1-DRY,5,dry,groundwater,BH2,10.875,-0.91,,W,downgradient,7.2,799.0,543.0,,,,,,,,,,,-10.346955633305688,-3.0510893502787297
E1-DRY-BH3-A,E1-DRY-BH3,Routine,E1-DRY,5,dry,groundwater,BH3,10.872,-0.905,,A,downgradient,7.1,1008.0,706.0,101.33,39.68,20.64,5.68,,,,,,,,
E1-DRY-BH3-I,E1-DRY-BH3,Routine,E1-DRY,5,dry,groundwater,BH3,10.872,-0.905,,I,downgradient,7.1,1008.0,706.0,,,,,,,,63.71,12.33466029542133,9.937753483119067,,
E1-DRY-BH3-U,E1-DRY-BH3,Routine,E1-DRY,5,dry,groundwater,BH3,10.872,-0.905,,U,downgradient,7.1,1008.0,706.0,,,,,363.0,80.63,21.41,63.71,,,,
E1-DRY-BH3-W,E1-DRY-BH3,Routine,E1-DRY,5,dry,groundwater,BH3,10.872,-0.905,,W,downgradient,7.1,1008.0,706.0,,,,,,,,,,,-17.96913040611,-3.776422688755372
E1-DRY-BH4-A,E1-DRY-BH4,Routine,E1-DRY,5,dry,groundwater,BH4,10.869,-0.9,,A,downgradient,6.9,821.0,545.0,32.78,31.14,77.73,1.43,,,,,,,,
E1-DRY-BH4-I,E1-DRY-BH4,Routine,E1-DRY,5,dry,groundwater,BH4,10.869,-0.9,,I,downgradient,6.9,821.0,545.0,,,,,,,,69.58,11.762284278332976,13.785856743126926,,
E1-DRY-BH4-U,E1-DRY-BH4,Routine,E1-DRY,5,dry,groundwater,BH4,10.869,-0.9,,U,downgradient,6.9,821.0,545.0,,,,,191.0,58.98,73.53,69.58,,,,
E1-DRY-BH4-W,E1-DRY-BH4,Routine,E1-DRY,5,dry,groundwater,BH4,10.869,-0.9,,W,downgradient,6.9,821.0,545.0,,,,,,,,,,,-21.18676238186688,-4.31579012010985
E1-DRY-L1-30cm-A,E1-DRY-L1-30,Routine,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,30.0,A,high_input,6.4,707.0,509.0,40.64,23.67,54.23,4.5,,,,,,,,
E1-DRY-L1-30cm-I,E1-DRY-L1-30,Routine,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,30.0,I,high_input,6.4,707.0,509.0,,,,,,,,42.35,0.5851765799778628,12.936850976503065,,
E1-DRY-L1-30cm-U,E1-DRY-L1-30,Routine,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,30.0,U,high_input,6.4,707.0,509.0,,,,,296.0,26.74,12.74,42.35,,,,
E1-DRY-L1-30cm-W,E1-DRY-L1-30,Routine,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,30.0,W,high_input,6.4,707.0,509.0,,,,,,,,,,,-10.671125115881342,-2.648339419408344
E1-DRY-L1-60cm-A,E1-DRY-L1-60,Routine,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,60.0,A,high_input,5.6,667.0,483.0,49.24,16.58,59.16,2.19,,,,,,,,
E1-DRY-L1-60cm-I,E1-DRY-L1-60,Routine,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,60.0,I,high_input,5.6,667.0,483.0,,,,,,,,32.94,2.4464278781846085,16.941238334708697,,
E1-DRY-L1-60cm-U,E1-DRY-L1-60,Routine,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,60.0,U,high_input,5.6,667.0,483.0,,,,,222.0,54.33,34.78,32.94,,,,
E1-DRY-L1-60cm-W,E1-DRY-L1-60,Routine,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,60.0,W,high_input,5.6,667.0,483.0,,,,,,,,,,,-8.535888563395691,-2.2520940964157776
E1-DRY-L2-30cm-A,E1-DRY-L2-30,Routine,E1-DRY,5,dry,soil_water,L2,10.889,-0.925,30.0,A,moderate_input,5.8,553.0,348.0,38.23,15.51,42.71,2.11,,,,,,,,
E1-DRY-L2-30cm-I,E1-DRY-L2-30,Routine,E1-DRY,5,dry,soil_water,L2,10.889,-0.925,30.0,I,moderate_input,5.8,553.0,348.0,,,,,,,,64.75,0.5864274091016046,9.733435907582686,,
E1-DRY-L2-30cm-U,E1-DRY-L2-30,Routine,E1-DRY,5,dry,soil_water,L2,10.889,-0.925,30.0,U,moderate_input,5.8,553.0,348.0,,,,,42.0,87.35,43.64,64.75,,,,
E1-DRY-L2-30cm-W,E1-DRY-L2-30,Routine,E1-DRY,5,dry,soil_water,L2,10.889,-0.925,30.0,W,moderate_input,5.8,553.0,348.0,,,,,,,,,,,-4.047017027933287,-1.767381684233268
E1-DRY-L2-60cm-A,E1-DRY-L2-60,Routine,E1-DRY,5,dry,soil_water,L2,10.889,-0.925,60.0,A,moderate_input,5.9,864.0,540.0,89.31,24.61,23.04,1.06,,,,,,,,
E1-DRY-L2-60cm-I,E1-DRY-L2-60,Routine,E1-DRY,5,dry,soil_water,L2,10.889,-0.925,60.0,I,moderate_input,5.9,864.0,540.0,,,,,,,,48.52,2.45414155983314,15.321616173548216,,
E1-DRY-L2-60cm-U,E1-DRY-L2-60,Routine,E1-DRY,5,dry,soil_water,L2,10.889,-0.925,60.0,U,moderate_input,5.9,864.0,540.0,,,,,224.0,77.64,40.69,48.52,,,,
E1-DRY-L2-60cm-W,E1-DRY-L2-60,Routine,E1-DRY,5,dry,soil_water,L2,10.889,-0.925,60.0,W,moderate_input,5.9,864.0,540.0,,,,,,,,,,,-12.90460079477814,-3.2587426680193525
E1-DRY-L3-30cm-A,E1-DRY-L3-30,Routine,E1-DRY,5,dry,soil_water,L3,10.885,-0.868,30.0,A,low_input,6.5,410.0,223.0,29.62,15.36,31.88,1.31,,,,,,,,
E1-DRY-L3-30cm-I,E1-DRY-L3-30,Routine,E1-DRY,5,dry,soil_water,L3,10.885,-0.868,30.0,I,low_input,6.5,410.0,223.0,,,,,,,,30.64,3.015300642054637,8.815476045265255,,
E1-DRY-L3-30cm-U,E1-DRY-L3-30,Routine,E1-DRY,5,dry,soil_water,L3,10.885,-0.868,30.0,U,low_input,6.5,410.0,223.0,,,,,35.0,46.4,26.69,30.64,,,,
E1-DRY-L3-30cm-W,E1-DRY-L3-30,Routine,E1-DRY,5,dry,soil_water,L3,10.885,-0.868,30.0,W,low_input,6.5,410.0,223.0,,,,,,,,,,,-12.019293311256463,-2.814472332451383
E1-DRY-L3-60cm-A,E1-DRY-L3-60,Routine,E1-DRY,5,dry,soil_water,L3,10.885,-0.868,60.0,A,low_input,6.3,569.0,394.0,62.89,24.46,17.66,0.57,,,,,,,,
E1-DRY-L3-60cm-I,E1-DRY-L3-60,Routine,E1-DRY,5,dry,soil_water,L3,10.885,-0.868,60.0,I,low_input,6.3,569.0,394.0,,,,,,,,19.65,3.8360247387138577,9.810794710461622,,
E1-DRY-L3-60cm-U,E1-DRY-L3-60,Routine,E1-DRY,5,dry,soil_water,L3,10.885,-0.868,60.0,U,low_input,6.3,569.0,394.0,,,,,191.0,41.67,26.89,19.65,,,,
E1-DRY-L3-60cm-W,E1-DRY-L3-60,Routine,E1-DRY,5,dry,soil_water,L3,10.885,-0.868,60.0,W,low_input,6.3,569.0,394.0,,,,,,,,,,,-5.470318293362774,-2.161372434075456
E1-DRY-L4-30cm-A,E1-DRY-L4-30,Routine,E1-DRY,5,dry,soil_water,L4,10.891,-0.89,30.0,A,high_input_manure,6.1,788.0,595.0,48.11,27.03,51.97,8.4,,,,,,,,
E1-DRY-L4-30cm-I,E1-DRY-L4-30,Routine,E1-DRY,5,dry,soil_water,L4,10.891,-0.89,30.0,I,high_input_manure,6.1,788.0,595.0,,,,,,,,65.94,1.749421012573599,14.746890509878249,,
E1-DRY-L4-30cm-U,E1-DRY-L4-30,Routine,E1-DRY,5,dry,soil_water,L4,10.891,-0.89,30.0,U,high_input_manure,6.1,788.0,595.0,,,,,337.0,35.72,10.96,65.94,,,,
E1-DRY-L4-30cm-W,E1-DRY-L4-30,Routine,E1-DRY,5,dry,soil_water,L4,10.891,-0.89,30.0,W,high_input_manure,6.1,788.0,595.0,,,,,,,,,,,-5.260555090194957,-1.8153151247594848
E1-DRY-L4-60cm-A,E1-DRY-L4-60,Routine,E1-DRY,5,dry,soil_water,L4,10.891,-0.89,60.0,A,high_input_manure,6.2,822.0,578.0,58.22,19.08,54.02,5.37,,,,,,,,
E1-DRY-L4-60cm-I,E1-DRY-L4-60,Routine,E1-DRY,5,dry,soil_water,L4,10.891,-0.89,60.0,I,high_input_manure,6.2,822.0,578.0,,,,,,,,44.43,2.9705429698175707,10.726491575334633,,
E1-DRY-L4-60cm-U,E1-DRY-L4-60,Routine,E1-DRY,5,dry,soil_water,L4,10.891,-0.89,60.0,U,high_input_manure,6.2,822.0,578.0,,,,,286.0,72.93,31.0,44.43,,,,
E1-DRY-L4-60cm-W,E1-DRY-L4-60,Routine,E1-DRY,5,dry,soil_water,L4,10.891,-0.89,60.0,W,high_input_manure,6.2,822.0,578.0,,,,,,,,,,,-13.00185085714533,-3.308574966775226
E2-PRE-BH1-A,E2-PRE-BH1,Routine,E2-PRE,9,transition,groundwater,BH1,10.878,-0.915,,A,upgradient,7.0,1150.0,761.0,105.74,26.11,50.57,5.4,,,,,,,,
E2-PRE-BH1-I,E2-PRE-BH1,Routine,E2-PRE,9,transition,groundwater,BH1,10.878,-0.915,,I,upgradient,7.0,1150.0,761.0,,,,,,,,24.28,8.136244860256344,10.340498149139728,,
E2-PRE-BH1-U,E2-PRE-BH1,Routine,E2-PRE,9,transition,groundwater,BH1,10.878,-0.915,,U,upgradient,7.0,1150.0,761.0,,,,,449.0,32.71,57.73,24.28,,,,
E2-PRE-BH1-W,E2-PRE-BH1,Routine,E2-PRE,9,transition,groundwater,BH1,10.878,-0.915,,W,upgradient,7.0,1150.0,761.0,,,,,,,,,,,-21.578966889395225,-4.467741586609966
E2-PRE-BH2-A,E2-PRE-BH2,Routine,E2-PRE,9,transition,groundwater,BH2,10.875,-0.91,,A,downgradient,6.8,773.0,476.0,58.4,15.03,50.2,9.47,,,,,,,,
E2-PRE-BH2-I,E2-PRE-BH2,Routine,E2-PRE,9,transition,groundwater,BH2,10.875,-0.91,,I,downgradient,6.8,773.0,476.0,,,,,,,,36.4,11.340711154365732,8.953757864868336,,
E2-PRE-BH2-U,E2-PRE-BH2,Routine,E2-PRE,9,transition,groundwater,BH2,10.875,-0.91,,U,downgradient,6.8,773.0,476.0,,,,,158.0,88.44,47.85,36.4,,,,
E2-PRE-BH2-W,E2-PRE-BH2,Routine,E2-PRE,9,transition,groundwater,BH2,10.875,-0.91,,W,downgradient,6.8,773.0,476.0,,,,,,,,,,,-18.918022448081523,-4.193858969750454
E2-PRE-BH3-A,E2-PRE-BH3,Routine,E2-PRE,9,transition,groundwater,BH3,10.872,-0.905,,A,downgradient,7.4,1064.0,679.0,62.69,18.73,110.39,8.23,,,,,,,,
E2-PRE-BH3-I,E2-PRE-BH3,Routine,E2-PRE,9,transition,groundwater,BH3,10.872,-0.905,,I,downgradient,7.4,1064.0,679.0,,,,,,,,142.12,9.912598558291258,12.151821773190916,,
E2-PRE-BH3-U,E2-PRE-BH3,Routine,E2-PRE,9,transition,groundwater,BH3,10.872,-0.905,,U,downgradient,7.4,1064.0,679.0,,,,,111.0,141.31,75.15,142.12,,,,
E2-PRE-BH3-W,E2-PRE-BH3,Routine,E2-PRE,9,transition,groundwater,BH3,10.872,-0.905,,W,downgradient,7.4,1064.0,679.0,,,,,,,,,,,-14.134254778826543,-3.391233500564456
E2-PRE-BH4-A,E2-PRE-BH4,Routine,E2-PRE,9,transition,groundwater,BH4,10.869,-0.9,,A,downgradient,6.7,783.0,522.0,34.07,24.77,78.65,3.54,,,,,,,,
E2-PRE-BH4-I,E2-PRE-BH4,Routine,E2-PRE,9,transition,groundwater,BH4,10.869,-0.9,,I,downgradient,6.7,783.0,522.0,,,,,,,,37.12,15.550794937683916,15.050019981476296,,
E2-PRE-BH4-U,E2-PRE-BH4,Routine,E2-PRE,9,transition,groundwater,BH4,10.869,-0.9,,U,downgradient,6.7,783.0,522.0,,,,,229.0,98.33,7.74,37.12,,,,
E2-PRE-BH4-W,E2-PRE-BH4,Routine,E2-PRE,9,transition,groundwater,BH4,10.869,-0.9,,W,downgradient,6.7,783.0,522.0,,,,,,,,,,,-18.961604981411604,-3.785204866633648
E2-PRE-L1-30cm-A,E2-PRE-L1-30,Routine,E2-PRE,9,transition,soil_water,L1,10.892,-0.928,30.0,A,high_input,6.9,509.0,375.0,57.46,15.71,12.38,6.01,,,,,,,,
E2-PRE-L1-30cm-I,E2-PRE-L1-30,Routine,E2-PRE,9,transition,soil_water,L1,10.892,-0.928,30.0,I,high_input,6.9,509.0,375.0,,,,,,,,36.76,-0.1713915595334152,11.98185681917981,,
E2-PRE-L1-30cm-U,E2-PRE-L1-30,Routine,E2-PRE,9,transition,soil_water,L1,10.892,-0.928,30.0,U,high_input,6.9,509.0,375.0,,,,,191.0,29.18,14.3,36.76,,,,
E2-PRE-L1-30cm-W,E2-PRE-L1-30,Routine,E2-PRE,9,transition,soil_water,L1,10.892,-0.928,30.0,W,high_input,6.9,509.0,375.0,,,,,,,,,,,-2.8621555985254696,-2.090082339097276
E2-PRE-L1-60cm-A,E2-PRE-L1-60,Routine,E2-PRE,9,transition,soil_water,L1,10.892,-0.928,60.0,A,high_input,6.2,381.0,247.0,35.02,14.34,13.25,6.64,,,,,,,,
E2-PRE-L1-60cm-I,E2-PRE-L1-60,Routine,E2-PRE,9,transition,soil_water,L1,10.892,-0.928,60.0,I,high_input,6.2,381.0,247.0,,,,,,,,57.87,1.3218430274291997,16.392285332655046,,
E2-PRE-L1-60cm-U,E2-PRE-L1-60,Routine,E2-PRE,9,transition,soil_water,L1,10.892,-0.928,60.0,U,high_input,6.2,381.0,247.0,,,,,32.0,64.11,18.03,57.87,,,,
E2-PRE-L1-60cm-W,E2-PRE-L1-60,Routine,E2-PRE,9,transition,soil_water,L1,10.892,-0.928,60.0,W,high_input,6.2,381.0,247.0,,,,,,,,,,,-14.561872436410438,-3.19774509530384
E2-PRE-L2-30cm-A,E2-PRE-L2-30,Routine,E2-PRE,9,transition,soil_water,L2,10.889,-0.925,30.0,A,moderate_input,6.3,708.0,570.0,61.56,22.43,48.51,5.7,,,,,,,,
E2-PRE-L2-30cm-I,E2-PRE-L2-30,Routine,E2-PRE,9,transition,soil_water,L2,10.889,-0.925,30.0,I,moderate_input,6.3,708.0,570.0,,,,,,,,27.55,0.2042794886181225,9.091104126434924,,
E2-PRE-L2-30cm-U,E2-PRE-L2-30,Routine,E2-PRE,9,transition,soil_water,L2,10.889,-0.925,30.0,U,moderate_input,6.3,708.0,570.0,,,,,339.0,50.69,9.32,27.55,,,,
E2-PRE-L2-30cm-W,E2-PRE-L2-30,Routine,E2-PRE,9,transition,soil_water,L2,10.889,-0.925,30.0,W,moderate_input,6.3,708.0,570.0,,,,,,,,,,,-7.525240102087352,-2.473743691601996
E2-PRE-L2-60cm-A,E2-PRE-L2-60,Routine,E2-PRE,9,transition,soil_water,L2,10.889,-0.925,60.0,A,moderate_input,5.9,498.0,369.0,39.98,13.59,42.55,4.88,,,,,,,,
E2-PRE-L2-60cm-I,E2-PRE-L2-60,Routine,E2-PRE,9,transition,soil_water,L2,10.889,-0.925,60.0,I,moderate_input,5.9,498.0,369.0,,,,,,,,36.92,0.1735036382206852,7.824311902641702,,
E2-PRE-L2-60cm-U,E2-PRE-L2-60,Routine,E2-PRE,9,transition,soil_water,L2,10.889,-0.925,60.0,U,moderate_input,5.9,498.0,369.0,,,,,123.0,58.54,38.45,36.92,,,,
E2-PRE-L2-60cm-W,E2-PRE-L2-60,Routine,E2-PRE,9,transition,soil_water,L2,10.889,-0.925,60.0,W,moderate_input,5.9,498.0,369.0,,,,,,,,,,,-2.8447052902552685,-1.806987549458556
E2-PRE-L3-30cm-A,E2-PRE-L3-30,Routine,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,30.0,A,low_input,6.4,451.0,455.0,44.59,20.16,29.44,3.88,,,,,,,,
E2-PRE-L3-30cm-I,E2-PRE-L3-30,Routine,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,30.0,I,low_input,6.4,451.0,455.0,,,,,,,,11.13,4.272262437622524,7.693864678930327,,
E2-PRE-L3-30cm-U,E2-PRE-L3-30,Routine,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,30.0,U,low_input,6.4,451.0,455.0,,,,,297.0,32.06,6.18,11.13,,,,
E2-PRE-L3-30cm-W,E2-PRE-L3-30,Routine,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,30.0,W,low_input,6.4,451.0,455.0,,,,,,,,,,,-12.177435121398313,-2.8664242057632405
E2-PRE-L3-60cm-A,E2-PRE-L3-60,Routine,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,60.0,A,low_input,5.9,331.0,290.0,35.74,12.98,33.53,3.31,,,,,,,,
E2-PRE-L3-60cm-I,E2-PRE-L3-60,Routine,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,60.0,I,low_input,5.9,331.0,290.0,,,,,,,,12.52,1.5327508378541486,11.013268742689526,,
E2-PRE-L3-60cm-U,E2-PRE-L3-60,Routine,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,60.0,U,low_input,5.9,331.0,290.0,,,,,121.0,40.06,23.75,12.52,,,,
E2-PRE-L3-60cm-W,E2-PRE-L3-60,Routine,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,60.0,W,low_input,5.9,331.0,290.0,,,,,,,,,,,-7.220934594980305,-2.342897063782334
E2-PRE-L4-30cm-A,E2-PRE-L4-30,Routine,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,30.0,A,high_input_manure,5.6,710.0,432.0,64.16,18.56,13.19,11.16,,,,,,,,
E2-PRE-L4-30cm-I,E2-PRE-L4-30,Routine,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,30.0,I,high_input_manure,5.6,710.0,432.0,,,,,,,,62.54,-1.983871612554076,17.8834541928282,,
E2-PRE-L4-30cm-U,E2-PRE-L4-30,Routine,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,30.0,U,high_input_manure,5.6,710.0,432.0,,,,,207.0,36.85,12.05,62.54,,,,
E2-PRE-L4-30cm-W,E2-PRE-L4-30,Routine,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,30.0,W,high_input_manure,5.6,710.0,432.0,,,,,,,,,,,-3.6467442931046383,-1.6893168486767802
E2-PRE-L4-60cm-A,E2-PRE-L4-60,Routine,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,60.0,A,high_input_manure,5.9,432.0,314.0,43.14,16.63,11.94,15.37,,,,,,,,
E2-PRE-L4-60cm-I,E2-PRE-L4-60,Routine,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,60.0,I,high_input_manure,5.9,432.0,314.0,,,,,,,,77.38,1.55875922207589,15.134625070371728,,
E2-PRE-L4-60cm-U,E2-PRE-L4-60,Routine,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,60.0,U,high_input_manure,5.9,432.0,314.0,,,,,39.0,84.54,18.6,77.38,,,,
E2-PRE-L4-60cm-W,E2-PRE-L4-60,Routine,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,60.0,W,high_input_manure,5.9,432.0,314.0,,,,,,,,,,,-12.059492695590826,-2.984915871691834
E3-POST1-BH1-A,E3-POST1-BH1,Routine,E3-POST1,10,wet,groundwater,BH1,10.878,-0.915,,A,upgradient,7.0,946.0,624.0,110.54,22.01,10.78,9.01,,,,,,,,
E3-POST1-BH1-I,E3-POST1-BH1,Routine,E3-POST1,10,wet,groundwater,BH1,10.878,-0.915,,I,upgradient,7.0,946.0,624.0,,,,,,,,65.7,9.034843420685895,8.366220323716648,,
E3-POST1-BH1-U,E3-POST1-BH1,Routine,E3-POST1,10,wet,groundwater,BH1,10.878,-0.915,,U,upgradient,7.0,946.0,624.0,,,,,351.0,19.98,28.49,65.7,,,,
E3-POST1-BH1-W,E3-POST1-BH1,Routine,E3-POST1,10,wet,groundwater,BH1,10.878,-0.915,,W,upgradient,7.0,946.0,624.0,,,,,,,,,,,-12.492565343660598,-3.037853928310886
E3-POST1-BH2-A,E3-POST1-BH2,Routine,E3-POST1,10,wet,groundwater,BH2,10.875,-0.91,,A,downgradient,6.7,728.0,463.0,35.33,28.33,42.41,9.11,,,,,,,,
E3-POST1-BH2-I,E3-POST1-BH2,Routine,E3-POST1,10,wet,groundwater,BH2,10.875,-0.91,,I,downgradient,6.7,728.0,463.0,,,,,,,,45.87,11.60419140700154,13.195186749819587,,
