PairID,EventCode,Month,Season,Matrix,Station,Latitude,Longitude,Depth_cm,InputZone,pH,EC_uScm,TDS_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,Cl_mgL,SO4_mgL,NO3_mgL,Cations_meqL,Anions_meqL,CBE_pct,CBE_pass
E1-DRY-BH3,E1-DRY,5,dry,groundwater,BH3,10.872,-0.908,,downgradient,7.1,1008,706,101.33,39.68,20.64,5.68,363,80.63,21.41,63.71,9.4,9.7,-1.8,True
E1-DRY-BH4,E1-DRY,5,dry,groundwater,BH4,10.868,-0.905,,downgradient,6.9,821,545,32.78,31.14,77.73,1.43,191,58.98,73.53,69.58,7.6,7.4,1.2,True
E1-DRY-L1-30,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,30.0,high_input,6.4,707,509,40.64,23.67,54.23,4.5,296,26.74,12.74,42.35,6.4,6.6,-0.8,True
E1-DRY-L1-60,E1-DRY,5,dry,soil_water,L1,10.892,-0.928,60.0,high_input,5.6,667,483,49.24,16.58,59.16,2.19,222,54.33,34.78,32.94,6.5,6.4,0.2,True
E1-DRY-L2-30,E1-DRY,5,dry,soil_water,L2,10.889,-0.925,30.0,moderate_input,5.8,553,348,38.23,15.51,42.71,2.11,42,87.35,43.64,64.75,5.1,5.1,0.0,True
E1-DRY-L2-60,E1-DRY,5,dry,soil_water,L2,10.889,-0.925,60.0,moderate_input,5.9,864,540,89.31,24.61,23.04,1.06,224,77.64,40.69,48.52,7.5,7.5,0.1,True
E1-DRY-L3-30,E1-DRY,5,dry,soil_water,L3,10.885,-0.868,30.0,low_input,6.5,410,223,29.62,15.36,31.88,1.31,35,46.4,26.69,30.64,4.2,2.9,17.3,False
E1-DRY-L3-60,E1-DRY,5,dry,soil_water,L3,10.885,-0.868,60.0,low_input,6.3,569,394,62.89,24.46,17.66,0.57,191,41.67,26.89,19.65,5.9,5.2,6.7,False
E1-DRY-L4-30,E1-DRY,5,dry,soil_water,L4,10.891,-0.89,30.0,high_input_manure,6.1,788,595,48.11,27.03,51.97,8.4,337,35.72,10.96,65.94,7.1,7.8,-4.8,True
E1-DRY-L4-60,E1-DRY,5,dry,soil_water,L4,10.891,-0.89,60.0,high_input_manure,6.2,822,578,58.22,19.08,54.02,5.37,286,72.93,31.0,44.43,7.0,8.1,-7.6,False
E2-PRE-BH1,E2-PRE,9,transition,groundwater,BH1,10.878,-0.915,,upgradient,7.0,1150,761,105.74,26.11,50.57,5.4,449,32.71,57.73,24.28,9.8,9.9,-0.6,True
E2-PRE-BH2,E2-PRE,9,transition,groundwater,BH2,10.875,-0.912,,downgradient,6.8,773,476,58.4,15.03,50.2,9.47,158,88.44,47.85,36.4,6.6,6.7,-0.7,True
E2-PRE-BH3,E2-PRE,9,transition,groundwater,BH3,10.872,-0.908,,downgradient,7.4,1064,679,62.69,18.73,110.39,8.23,111,141.31,75.15,142.12,9.7,9.7,0.1,True
E2-PRE-BH4,E2-PRE,9,transition,groundwater,BH4,10.868,-0.905,,downgradient,6.7,783,522,34.07,24.77,78.65,3.54,229,98.33,7.74,37.12,7.3,7.3,-0.3,True
E2-PRE-L1-30,E2-PRE,9,transition,soil_water,L1,10.892,-0.928,30.0,high_input,6.9,509,375,57.46,15.71,12.38,6.01,191,29.18,14.3,36.76,4.9,4.8,0.1,True
E2-PRE-L1-60,E2-PRE,9,transition,soil_water,L1,10.892,-0.928,60.0,high_input,6.2,381,247,35.02,14.34,13.25,6.64,32,64.11,18.03,57.87,3.7,3.6,0.4,True
E2-PRE-L2-30,E2-PRE,9,transition,soil_water,L2,10.889,-0.925,30.0,moderate_input,6.3,708,570,61.56,22.43,48.51,5.7,339,50.69,9.32,27.55,7.2,7.6,-3.0,True
E2-PRE-L2-60,E2-PRE,9,transition,soil_water,L2,10.889,-0.925,60.0,moderate_input,5.9,498,369,39.98,13.59,42.55,4.88,123,58.54,38.45,36.92,5.1,5.1,0.2,True
E2-PRE-L3-30,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,30.0,low_input,6.4,451,455,44.59,20.16,29.44,3.88,297,32.06,6.18,11.13,5.3,6.1,-7.2,False
E2-PRE-L3-60,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,60.0,low_input,5.9,331,290,35.74,12.98,33.53,3.31,121,40.06,23.75,12.52,4.4,3.8,7.2,False
E2-PRE-L4-30,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,30.0,high_input_manure,5.6,710,432,64.16,18.56,13.19,11.16,207,36.85,12.05,62.54,5.6,5.7,-0.9,True
E2-PRE-L4-60,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,60.0,high_input_manure,5.9,432,314,43.14,16.63,11.94,15.37,39,84.54,18.6,77.38,4.4,4.7,-2.5,True
E3-POST1-BH1,E3-POST1,10,wet,groundwater,BH1,10.878,-0.915,,upgradient,7.0,946,624,110.54,22.01,10.78,9.01,351,19.98,28.49,65.7,8.0,8.0,0.4,True
E3-POST1-BH2,E3-POST1,10,wet,groundwater,BH2,10.875,-0.912,,downgradient,6.7,728,463,35.33,28.33,42.41,9.11,235,47.04,13.57,45.87,6.2,6.2,-0.3,True
E3-POST1-BH3,E3-POST1,10,wet,groundwater,BH3,10.872,-0.908,,downgradient,6.9,744,585,38.14,36.61,80.99,4.62,98,143.25,13.36,159.17,8.6,8.5,0.4,True
E3-POST1-BH4,E3-POST1,10,wet,groundwater,BH4,10.868,-0.905,,downgradient,6.8,786,546,48.81,41.0,21.42,10.08,177,26.15,71.13,139.17,7.0,7.4,-2.5,True
E3-POST1-L1-30,E3-POST1,10,wet,soil_water,L1,10.892,-0.928,30.0,high_input,6.6,771,497,70.08,19.03,27.5,2.07,112,19.42,17.44,220.73,6.3,6.3,0.1,True
E3-POST1-L1-60,E3-POST1,10,wet,soil_water,L1,10.892,-0.928,60.0,high_input,7.0,445,334,32.07,18.01,28.47,2.07,39,36.02,24.73,140.84,4.4,4.4,-0.8,True
E3-POST1-L2-30,E3-POST1,10,wet,soil_water,L2,10.889,-0.925,30.0,moderate_input,6.4,569,432,51.92,24.02,25.64,6.58,113,65.43,15.07,119.54,5.9,5.9,-0.7,True
E3-POST1-L2-60,E3-POST1,10,wet,soil_water,L2,10.889,-0.925,60.0,moderate_input,6.5,537,364,43.78,10.13,43.65,5.93,74,71.08,25.99,84.07,5.1,5.1,-0.5,True
E3-POST1-L3-30,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,30.0,low_input,6.7,395,300,45.31,22.21,17.08,3.37,101,36.97,11.24,51.1,4.9,3.8,13.4,False
E3-POST1-L3-60,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,60.0,low_input,5.9,334,260,31.69,9.55,32.83,3.63,77,42.56,18.31,32.41,3.9,3.4,7.3,False
E3-POST1-L4-30,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,30.0,high_input_manure,5.8,866,688,70.74,24.56,26.48,4.15,142,22.82,16.1,370.33,6.8,9.3,-15.4,False
E3-POST1-L4-60,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,60.0,high_input_manure,6.4,561,418,34.86,20.68,30.92,4.77,47,49.04,25.75,196.23,4.9,5.8,-8.7,False
E4-POST2-BH1,E4-POST2,11,wet,groundwater,BH1,10.878,-0.915,,upgradient,7.5,485,342,56.64,14.82,16.97,2.14,126,60.93,20.22,31.92,4.8,4.7,1.2,True
E4-POST2-BH2,E4-POST2,11,wet,groundwater,BH2,10.875,-0.912,,downgradient,6.8,857,574,64.87,25.86,55.86,4.32,268,59.12,58.26,32.04,7.9,7.8,0.7,True
E4-POST2-BH3,E4-POST2,11,wet,groundwater,BH3,10.872,-0.908,,downgradient,6.8,1230,912,82.58,33.03,105.84,5.65,425,32.36,45.85,176.04,11.6,11.7,-0.4,True
E4-POST2-BH4,E4-POST2,11,wet,groundwater,BH4,10.868,-0.905,,downgradient,6.9,922,549,37.16,27.77,63.75,9.54,115,35.95,34.21,220.09,7.2,7.2,0.0,True
E4-POST2-L1-30,E4-POST2,11,wet,soil_water,L1,10.892,-0.928,30.0,high_input,5.7,880,522,79.93,19.15,33.9,3.01,153,58.23,39.22,123.36,7.1,7.0,1.1,True
E4-POST2-L1-60,E4-POST2,11,wet,soil_water,L1,10.892,-0.928,60.0,high_input,6.0,842,573,85.7,26.11,19.69,3.64,158,17.75,52.69,203.52,7.4,7.5,-0.6,True
E4-POST2-L2-30,E4-POST2,11,wet,soil_water,L2,10.889,-0.925,30.0,moderate_input,6.8,650,493,53.99,15.94,48.56,3.4,182,17.75,6.38,158.23,6.2,6.2,0.3,True
E4-POST2-L2-60,E4-POST2,11,wet,soil_water,L2,10.889,-0.925,60.0,moderate_input,6.8,930,575,65.69,27.15,52.48,1.9,216,65.94,29.26,105.58,7.8,7.7,0.9,True
E4-POST2-L3-30,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,30.0,low_input,5.9,457,351,46.51,15.61,32.22,1.77,158,10.39,4.87,74.71,5.1,4.2,9.4,False
E4-POST2-L3-60,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,60.0,low_input,6.2,739,452,51.47,22.93,32.75,1.08,234,37.23,20.59,46.52,5.9,6.1,-1.3,True
E4-POST2-L4-30,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,30.0,high_input_manure,5.6,1041,633,103.0,22.52,33.88,5.43,166,64.7,38.54,191.38,8.6,8.4,1.0,True
E4-POST2-L4-60,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,60.0,high_input_manure,5.8,1110,792,109.05,30.6,18.29,7.25,205,20.81,52.78,342.08,8.9,10.6,-8.3,False
E5-PEAK-AW1,E5-PEAK,13,wet_peak,groundwater,AW1,10.865,-0.895,,supplementary,7.5,751,464,45.1,11.69,57.47,7.22,227,13.75,72.44,19.23,5.9,5.9,-0.3,True
E5-PEAK-AW2,E5-PEAK,13,wet_peak,groundwater,AW2,10.863,-0.892,,supplementary,7.2,978,725,100.46,24.41,58.17,5.57,402,88.66,11.17,23.81,9.7,9.7,-0.1,True
E5-PEAK-AW3,E5-PEAK,13,wet_peak,groundwater,AW3,10.861,-0.889,,supplementary,6.6,964,699,87.99,26.53,51.09,7.43,271,36.07,77.65,133.31,9.0,9.2,-1.3,True
E5-PEAK-AW4,E5-PEAK,13,wet_peak,groundwater,AW4,10.859,-0.886,,supplementary,7.2,835,546,69.4,20.32,38.45,10.19,213,14.15,71.45,98.16,7.1,7.0,0.7,True
E5-PEAK-AW5,E5-PEAK,13,wet_peak,groundwater,AW5,10.857,-0.883,,supplementary,7.1,937,640,55.52,30.12,79.04,2.82,203,80.36,52.13,131.32,8.8,8.8,-0.2,True
E5-PEAK-AW6,E5-PEAK,13,wet_peak,groundwater,AW6,10.855,-0.88,,supplementary,6.9,1097,732,105.05,24.73,49.17,4.23,356,74.72,17.46,88.76,9.5,9.7,-1.1,True
E5-PEAK-AW7,E5-PEAK,13,wet_peak,groundwater,AW7,10.853,-0.877,,supplementary,6.9,1031,705,117.23,24.7,27.83,1.65,363,29.15,43.6,86.83,9.1,9.1,0.3,True
E5-PEAK-AW8,E5-PEAK,13,wet_peak,groundwater,AW8,10.851,-0.874,,supplementary,7.3,954,734,75.26,40.32,68.61,6.35,350,106.07,20.56,54.25,10.2,10.0,0.9,True
E5-PEAK-BH1,E5-PEAK,13,wet_peak,groundwater,BH1,10.878,-0.915,,upgradient,6.8,1132,763,109.27,20.68,71.84,2.01,401,106.18,14.1,29.95,10.3,10.3,0.0,True
E5-PEAK-BH2,E5-PEAK,13,wet_peak,groundwater,BH2,10.875,-0.912,,downgradient,7.4,1004,588,69.23,42.9,22.22,6.28,300,63.99,50.23,24.57,8.1,8.2,-0.4,True
E5-PEAK-BH3,E5-PEAK,13,wet_peak,groundwater,BH3,10.872,-0.908,,downgradient,7.0,1580,1070,98.75,43.05,119.1,5.08,467,36.67,81.36,212.79,13.8,13.8,-0.1,True
E5-PEAK-BH4,E5-PEAK,13,wet_peak,groundwater,BH4,10.868,-0.905,,downgradient,6.6,1097,690,93.95,24.62,45.12,5.17,336,39.47,18.28,116.23,8.8,8.9,-0.4,True
E5-PEAK-L1-30,E5-PEAK,13,wet_peak,soil_water,L1,10.892,-0.928,30.0,high_input,6.5,410,295,30.48,11.85,27.49,4.1,54,24.84,10.62,124.55,3.8,3.8,-0.3,True
E5-PEAK-L1-60,E5-PEAK,13,wet_peak,soil_water,L1,10.892,-0.928,60.0,high_input,5.8,759,529,72.92,20.6,29.85,3.46,42,29.35,51.28,268.65,6.7,6.9,-1.5,True
E5-PEAK-L2-30,E5-PEAK,13,wet_peak,soil_water,L2,10.889,-0.925,30.0,moderate_input,6.7,462,333,29.81,8.24,46.31,5.05,43,42.31,23.27,121.9,4.3,4.4,-0.5,True
E5-PEAK-L2-60,E5-PEAK,13,wet_peak,soil_water,L2,10.889,-0.925,60.0,moderate_input,5.4,793,495,83.95,21.26,13.65,6.59,180,47.76,22.42,113.82,6.7,6.6,0.7,True
E5-PEAK-L3-30,E5-PEAK,13,wet_peak,soil_water,L3,10.885,-0.868,30.0,low_input,5.9,332,200,23.06,7.64,33.65,3.06,36,28.22,15.45,41.12,3.3,2.4,16.7,False
E5-PEAK-L3-60,E5-PEAK,13,wet_peak,soil_water,L3,10.885,-0.868,60.0,low_input,6.8,498,372,70.14,17.08,9.59,3.59,179,25.55,16.55,42.95,5.4,4.7,7.1,False
E5-PEAK-L4-30,E5-PEAK,13,wet_peak,soil_water,L4,10.891,-0.89,30.0,high_input_manure,6.1,481,395,33.6,13.44,29.83,9.74,58,32.24,11.1,196.49,4.3,5.3,-9.8,False
E5-PEAK-L4-60,E5-PEAK,13,wet_peak,soil_water,L4,10.891,-0.89,60.0,high_input_manure,6.4,1012,754,74.96,28.2,32.25,7.37,47,35.36,52.19,469.75,7.7,10.4,-15.3,False
E6-LATE-BH1,E6-LATE,17,wet_late,groundwater,BH1,10.878,-0.915,,upgradient,6.5,1106,722,120.69,27.2,22.66,3.47,431,12.01,76.66,15.81,9.3,9.3,0.4,True
E6-LATE-BH2,E6-LATE,17,wet_late,groundwater,BH2,10.875,-0.912,,downgradient,7.2,583,425,63.65,27.6,13.47,2.46,112,93.77,11.08,90.84,6.1,6.2,-0.6,True
E6-LATE-BH3,E6-LATE,17,wet_late,groundwater,BH3,10.872,-0.908,,downgradient,6.4,726,509,94.62,16.21,22.51,3.42,111,104.82,8.86,136.62,7.1,7.2,-0.3,True
E6-LATE-BH4,E6-LATE,17,wet_late,groundwater,BH4,10.868,-0.905,,downgradient,7.1,1209,764,93.79,18.11,85.92,4.42,389,33.88,73.95,52.3,10.0,9.7,1.5,True
E6-LATE-L1-30,E6-LATE,17,wet_late,soil_water,L1,10.892,-0.928,30.0,high_input,6.2,524,389,53.93,6.36,45.0,2.26,116,63.43,15.2,77.32,5.2,5.3,-0.2,True
E6-LATE-L1-60,E6-LATE,17,wet_late,soil_water,L1,10.892,-0.928,60.0,high_input,6.1,831,577,83.5,27.89,25.41,2.6,258,47.09,25.67,96.81,7.6,7.7,-0.1,True
E6-LATE-L2-30,E6-LATE,17,wet_late,soil_water,L2,10.889,-0.925,30.0,moderate_input,5.6,651,391,60.31,8.98,21.96,6.38,210,10.89,9.61,54.34,4.9,4.8,0.5,True
E6-LATE-L2-60,E6-LATE,17,wet_late,soil_water,L2,10.889,-0.925,60.0,moderate_input,5.4,804,482,51.97,12.82,53.07,5.75,167,18.29,48.42,115.77,6.1,6.1,-0.3,True
E6-LATE-L3-30,E6-LATE,17,wet_late,soil_water,L3,10.885,-0.868,30.0,low_input,5.9,411,322,49.96,7.33,13.89,4.34,206,5.46,5.96,23.51,3.8,4.0,-2.8,True
E6-LATE-L3-60,E6-LATE,17,wet_late,soil_water,L3,10.885,-0.868,60.0,low_input,6.5,619,372,42.08,12.03,38.76,3.13,170,10.01,32.2,52.02,4.9,4.6,3.0,True
E6-LATE-L4-30,E6-LATE,17,wet_late,soil_water,L4,10.891,-0.89,30.0,high_input_manure,6.4,675,457,64.57,8.09,41.34,4.22,125,74.41,16.6,115.72,5.8,6.4,-4.7,True
E6-LATE-L4-60,E6-LATE,17,wet_late,soil_water,L4,10.891,-0.89,60.0,high_input_manure,6.2,958,661,103.41,34.88,25.8,5.18,273,62.0,22.7,127.03,9.3,8.7,3.0,True
E7-END-AW1,E7-END,21,dry_return,groundwater,AW1,10.865,-0.895,,supplementary,7.3,1315,897,113.85,31.21,73.72,5.01,484,65.76,42.23,69.49,11.6,11.8,-0.8,True
E7-END-AW2,E7-END,21,dry_return,groundwater,AW2,10.863,-0.892,,supplementary,7.0,1186,869,91.27,39.2,81.65,7.22,430,65.65,51.83,95.8,11.5,11.5,0.0,True
E7-END-AW3,E7-END,21,dry_return,groundwater,AW3,10.861,-0.889,,supplementary,6.9,1067,656,90.85,22.97,57.94,1.96,279,82.02,81.67,27.96,9.0,9.0,-0.2,True
E7-END-AW4,E7-END,21,dry_return,groundwater,AW4,10.859,-0.886,,supplementary,7.2,908,643,58.5,31.8,71.02,7.97,207,100.6,36.66,124.22,8.8,9.0,-1.0,True
E7-END-AW5,E7-END,21,dry_return,groundwater,AW5,10.857,-0.883,,supplementary,6.7,802,512,69.53,17.37,39.51,3.0,192,18.36,49.87,116.77,6.7,6.6,0.8,True
E7-END-AW6,E7-END,21,dry_return,groundwater,AW6,10.855,-0.88,,supplementary,6.5,833,648,82.26,26.68,55.58,7.78,133,102.3,57.38,174.77,8.9,9.1,-0.9,True
E7-END-AW7,E7-END,21,dry_return,groundwater,AW7,10.853,-0.877,,supplementary,6.7,969,634,57.69,30.41,64.72,3.48,334,56.56,14.05,61.22,8.3,8.3,-0.4,True
E7-END-AW8,E7-END,21,dry_return,groundwater,AW8,10.851,-0.874,,supplementary,6.9,770,509,50.2,36.27,32.42,8.61,211,55.11,55.6,52.65,7.1,7.0,0.7,True
E7-END-BH1,E7-END,21,dry_return,groundwater,BH1,10.878,-0.915,,upgradient,7.4,640,457,46.34,37.19,36.83,1.51,81,119.92,73.76,54.62,7.0,7.1,-0.8,True
E7-END-BH2,E7-END,21,dry_return,groundwater,BH2,10.875,-0.912,,downgradient,7.5,1170,776,101.19,31.71,51.85,1.8,438,55.64,31.96,53.22,10.0,10.3,-1.6,True
E7-END-BH3,E7-END,21,dry_return,groundwater,BH3,10.872,-0.908,,downgradient,7.2,1405,869,103.42,20.97,98.36,6.47,311,57.17,71.66,192.88,11.3,11.3,0.1,True
E7-END-BH4,E7-END,21,dry_return,groundwater,BH4,10.868,-0.905,,downgradient,7.1,1146,774,113.2,40.44,23.45,8.54,363,38.68,29.76,146.92,10.2,10.0,0.9,True
E7-END-L1-30,E7-END,21,dry_return,soil_water,L1,10.892,-0.928,30.0,high_input,6.2,874,515,75.23,8.77,44.83,6.69,245,17.54,38.87,71.33,6.6,6.5,1.0,True
E7-END-L1-60,E7-END,21,dry_return,soil_water,L1,10.892,-0.928,60.0,high_input,6.1,571,356,46.7,22.18,15.85,2.92,46,56.83,43.58,113.4,4.9,5.1,-1.7,True
E7-END-L2-30,E7-END,21,dry_return,soil_water,L2,10.889,-0.925,30.0,moderate_input,6.9,511,392,42.55,14.69,47.91,6.23,79,87.94,42.83,60.11,5.6,5.6,-0.6,True
E7-END-L2-60,E7-END,21,dry_return,soil_water,L2,10.889,-0.925,60.0,moderate_input,6.3,767,513,38.34,29.19,56.28,1.56,136,44.72,48.29,148.49,6.8,6.9,-0.6,True
E7-END-L3-30,E7-END,21,dry_return,soil_water,L3,10.885,-0.868,30.0,low_input,6.8,394,288,37.79,14.56,37.51,3.58,64,60.3,29.36,29.65,4.8,3.8,11.2,False
E7-END-L3-60,E7-END,21,dry_return,soil_water,L3,10.885,-0.868,60.0,low_input,6.4,475,356,29.09,25.6,43.35,0.88,116,27.34,38.02,65.22,5.5,4.5,9.6,False
E7-END-L4-30,E7-END,21,dry_return,soil_water,L4,10.891,-0.89,30.0,high_input_manure,5.9,1038,655,89.11,12.25,41.6,13.5,309,23.19,39.23,117.78,7.6,8.4,-5.2,False
E7-END-L4-60,E7-END,21,dry_return,soil_water,L4,10.891,-0.89,60.0,high_input_manure,6.3,764,477,58.03,29.78,17.02,7.04,52,71.07,45.3,184.27,6.3,6.8,-3.9,True
