date,rain_mm,tair_C
2024-03-17,0.0,28.4
2024-03-18,0.0,29.0
2024-03-19,21.3,28.2
2024-03-20,0.0,27.7
2024-03-21,0.0,28.0
2024-03-22,0.0,28.6
2024-03-23,0.0,28.8
2024-03-24,0.0,28.5
2024-03-25,0.0,29.2
2024-03-26,0.0,29.0
2024-03-27,30.9,27.9
2024-03-28,14.1,29.5
2024-03-29,0.0,29.5
2024-03-30,0.0,28.9
2024-03-31,0.0,30.0
2024-04-01,18.7,28.5
2024-04-02,0.0,29.2
2024-04-03,0.0,29.2
2024-04-04,12.5,28.9
2024-04-05,0.0,29.5
2024-04-06,0.0,28.5
2024-04-07,7.6,29.4
2024-04-08,14.5,29.3
2024-04-09,0.0,28.7
2024-04-10,10.9,29.6
2024-04-11,0.0,29.5
2024-04-12,0.0,29.1
2024-04-13,0.0,28.2
2024-04-14,1.3,28.9
2024-04-15,0.0,28.8
2024-04-16,0.0,29.7
2024-04-17,0.0,29.8
2024-04-18,0.0,28.5
2024-04-19,0.0,29.3
2024-04-20,0.0,29.1
2024-04-21,0.0,28.3
2024-04-22,0.0,29.3
2024-04-23,0.0,29.2
2024-04-24,0.0,28.7
2024-04-25,8.7,28.0
2024-04-26,0.0,29.4
2024-04-27,0.0,29.6
2024-04-28,16.8,29.5
2024-04-29,0.0,28.6
2024-04-30,15.9,28.7
2024-05-01,0.0,29.5
2024-05-02,21.9,29.0
2024-05-03,0.0,29.1
2024-05-04,9.3,29.2
2024-05-05,0.0,29.1
2024-05-06,0.0,29.3
2024-05-07,11.5,28.9
2024-05-08,0.0,29.4
2024-05-09,19.6,29.0
2024-05-10,15.6,29.4
2024-05-11,26.7,28.4
2024-05-12,0.0,28.9
2024-05-13,0.4,28.9
2024-05-14,15.4,29.3
2024-05-15,0.0,29.3
2024-05-16,0.0,29.2
2024-05-17,16.0,29.7
2024-05-18,0.0,29.1
2024-05-19,0.0,28.2
2024-05-20,6.4,27.8
2024-05-21,14.2,29.1
2024-05-22,3.6,28.8
2024-05-23,19.0,29.4
2024-05-24,0.0,28.5
2024-05-25,0.0,29.2
2024-05-26,10.5,29.0
2024-05-27,34.7,28.1
2024-05-28,17.6,28.5
2024-05-29,8.7,28.8
2024-05-30,0.0,29.1
2024-05-31,0.0,28.0
2024-06-01,0.0,28.4
2024-06-02,0.0,28.6
2024-06-03,1.1,28.8
2024-06-04,0.0,28.3
2024-06-05,6.4,28.0
2024-06-06,0.0,29.0
2024-06-07,0.0,29.2
2024-06-08,10.0,28.4
2024-06-09,3.7,28.5
2024-06-10,13.3,27.8
2024-06-11,21.0,27.7
2024-06-12,10.7,27.6
2024-06-13,0.0,28.8
2024-06-14,0.0,28.6
2024-06-15,12.6,27.2
2024-06-16,1.1,29.1
2024-06-17,0.0,28.3
2024-06-18,4.8,28.6
2024-06-19,0.4,28.4
2024-06-20,0.0,28.5
2024-06-21,0.0,28.0
2024-06-22,0.0,28.3
2024-06-23,8.9,28.5
2024-06-24,0.0,28.0
2024-06-25,6.0,28.8
2024-06-26,4.2,27.8
2024-06-27,0.0,27.9
2024-06-28,23.7,28.1
2024-06-29,8.9,27.9
2024-06-30,3.3,28.7
2024-07-01,0.0,28.7
2024-07-02,0.0,27.3
2024-07-03,0.0,28.1
2024-07-04,17.9,26.7
2024-07-05,0.0,27.7
2024-07-06,0.0,28.4
2024-07-07,0.0,28.9
2024-07-08,0.0,28.6
2024-07-09,18.3,28.2
2024-07-10,0.0,27.9
2024-07-11,30.1,28.1
2024-07-12,0.0,27.5
2024-07-13,0.0,27.1
2024-07-14,0.0,28.1
2024-07-15,0.0,27.7
2024-07-16,14.0,27.3
2024-07-17,0.0,27.0
2024-07-18,0.0,27.6
2024-07-19,0.0,26.9
2024-07-20,0.0,27.3
2024-07-21,17.1,27.5
2024-07-22,0.0,27.8
2024-07-23,0.6,27.7
2024-07-24,0.0,26.5
2024-07-25,41.9,28.0
2024-07-26,15.1,25.9
2024-07-27,0.0,26.2
2024-07-28,21.8,27.3
2024-07-29,18.2,27.6
2024-07-30,0.0,26.5
2024-07-31,1.4,27.1
2024-08-01,23.6,27.3
2024-08-02,0.1,26.9
2024-08-03,14.6,27.2
2024-08-04,0.0,27.1
2024-08-05,22.8,26.1
2024-08-06,15.6,27.3
2024-08-07,44.5,27.1
2024-08-08,0.0,27.2
2024-08-09,0.0,27.5
2024-08-10,9.8,26.3
2024-08-11,10.0,26.1
2024-08-12,0.5,26.6
2024-08-13,0.0,26.3
2024-08-14,0.0,26.4
2024-08-15,0.0,26.7
2024-08-16,0.0,26.7
2024-08-17,0.0,26.3
2024-08-18,5.1,26.0
2024-08-19,9.5,27.1
2024-08-20,12.5,26.8
2024-08-21,7.1,25.6
2024-08-22,12.4,26.0
2024-08-23,21.6,25.5
2024-08-24,0.0,26.1
2024-08-25,0.0,26.4
2024-08-26,29.6,26.2
2024-08-27,18.3,26.0
2024-08-28,4.6,25.9
2024-08-29,0.0,27.0
2024-08-30,35.2,25.2
2024-08-31,0.0,25.8
2024-09-01,78.3,26.0
2024-09-02,0.0,25.3
2024-09-03,19.7,25.5
2024-09-04,1.7,25.7
2024-09-05,0.0,26.1
2024-09-06,25.2,25.7
2024-09-07,0.5,26.8
2024-09-08,0.0,25.4
2024-09-09,0.0,25.3
2024-09-10,2.4,25.1
2024-09-11,11.1,24.9
2024-09-12,8.0,25.9
2024-09-13,0.0,26.1
2024-09-14,0.0,25.3
2024-09-15,11.9,25.0
2024-09-16,0.0,25.6
2024-09-17,0.0,24.2
2024-09-18,0.0,26.5
2024-09-19,19.1,24.9
2024-09-20,0.0,25.2
2024-09-21,23.0,25.0
2024-09-22,0.0,26.0
2024-09-23,1.5,25.3
2024-09-24,9.3,25.2
2024-09-25,13.6,25.5
2024-09-26,0.0,24.6
2024-09-27,17.6,24.7
2024-09-28,0.0,25.8
2024-09-29,0.0,24.0
2024-09-30,2.4,25.6
2024-10-01,0.0,25.0
2024-10-02,2.6,24.7
2024-10-03,30.1,25.6
2024-10-04,29.6,24.0
2024-10-05,0.0,25.7
2024-10-06,19.5,25.8
2024-10-07,29.9,25.0
2024-10-08,2.4,24.7
2024-10-09,0.0,25.5
2024-10-10,18.3,25.8
2024-10-11,15.8,24.8
2024-10-12,17.6,25.1
2024-10-13,8.8,25.2
2024-10-14,32.0,25.0
2024-10-15,0.0,25.4
2024-10-16,0.0,25.4
2024-10-17,35.6,25.0
2024-10-18,24.4,24.2
2024-10-19,0.0,25.1
2024-10-20,33.2,24.5
2024-10-21,0.0,24.8
2024-10-22,0.0,25.2
2024-10-23,11.4,25.8
2024-10-24,0.0,24.5
2024-10-25,0.0,24.9
2024-10-26,0.0,25.2
2024-10-27,0.0,25.7
2024-10-28,0.0,25.8
2024-10-29,0.0,25.1
2024-10-30,8.0,24.6
2024-10-31,34.6,24.5
2024-11-01,0.0,24.3
2024-11-02,17.1,25.4
2024-11-03,0.0,24.6
2024-11-04,0.0,24.9
2024-11-05,0.0,24.6
2024-11-06,0.0,26.1
2024-11-07,0.0,24.7
2024-11-08,0.7,24.0
2024-11-09,0.0,24.4
2024-11-10,7.9,25.5
2024-11-11,18.6,24.3
2024-11-12,0.0,25.3
2024-11-13,11.9,25.6
2024-11-14,0.0,25.1
2024-11-15,0.0,25.0
2024-11-16,0.0,24.7
2024-11-17,3.8,25.1
2024-11-18,0.0,25.4
2024-11-19,16.3,24.9
2024-11-20,0.0,24.9
2024-11-21,3.2,24.9
2024-11-22,0.0,25.2
2024-11-23,18.3,25.6
2024-11-24,0.0,24.8
2024-11-25,2.2,24.5
2024-11-26,0.0,25.0
2024-11-27,7.8,25.5
2024-11-28,0.0,25.6
2024-11-29,0.0,26.0
2024-11-30,0.0,24.8
2024-12-01,0.0,25.2
2024-12-02,0.0,25.0
2024-12-03,0.0,25.5
2024-12-04,0.0,25.1
2024-12-05,0.0,25.9
2024-12-06,4.3,25.4
2024-12-07,6.9,25.3
2024-12-08,0.0,26.4
2024-12-09,17.5,26.0
2024-12-10,11.0,25.7
2024-12-11,11.6,25.7
2024-12-12,6.5,26.9
2024-12-13,0.0,25.8
2024-12-14,15.6,25.5
2024-12-15,0.0,25.3
2024-12-16,0.0,25.5
2024-12-17,0.0,26.2
2024-12-18,0.0,25.4
2024-12-19,0.0,25.1
2024-12-20,0.0,27.1
2024-12-21,20.8,25.5
2024-12-22,0.0,26.2
2024-12-23,0.0,26.4
2024-12-24,0.0,26.4
2024-12-25,6.2,25.9
2024-12-26,4.9,25.6
2024-12-27,0.0,25.9
2024-12-28,0.0,25.6
2024-12-29,12.4,26.9
2024-12-30,0.0,25.4
2024-12-31,7.5,26.1
2025-01-01,6.0,26.3
2025-01-02,12.9,26.7
2025-01-03,0.0,26.3
2025-01-04,12.9,25.3
2025-01-05,20.7,25.0
2025-01-06,6.9,26.0
2025-01-07,0.0,25.8
2025-01-08,0.0,26.4
2025-01-09,0.0,26.5
2025-01-10,0.0,25.8
2025-01-11,14.4,26.4
2025-01-12,0.0,25.9
2025-01-13,0.0,25.3
2025-01-14,0.0,26.4
2025-01-15,0.0,26.8
2025-01-16,0.0,26.9
2025-01-17,0.0,26.1
2025-01-18,0.0,26.6
2025-01-19,3.4,26.8
2025-01-20,0.0,26.2
2025-01-21,3.5,25.6
2025-01-22,0.0,26.7
2025-01-23,14.7,26.6
2025-01-24,0.0,27.4
2025-01-25,0.0,26.6
2025-01-26,2.9,26.8
2025-01-27,0.0,26.2
2025-01-28,0.0,27.0
2025-01-29,0.0,27.0
2025-01-30,13.2,26.7
2025-01-31,0.0,26.9
2025-02-01,0.0,27.4
2025-02-02,0.0,27.1
2025-02-03,0.0,27.4
2025-02-04,15.7,27.2
2025-02-05,0.0,27.0
2025-02-06,0.0,27.1
2025-02-07,0.0,27.8
2025-02-08,0.0,26.8
2025-02-09,0.0,27.2
2025-02-10,0.0,27.2
2025-02-11,0.0,26.9
2025-02-12,3.0,27.1
2025-02-13,1.1,26.9
2025-02-14,0.0,27.7
2025-02-15,0.0,27.5
2025-02-16,0.0,28.5
2025-02-17,1.5,27.5
2025-02-18,0.0,27.6
2025-02-19,7.0,27.6
2025-02-20,10.1,27.2
2025-02-21,0.0,28.5
2025-02-22,0.0,27.4
2025-02-23,3.9,27.5
2025-02-24,0.0,27.6
2025-02-25,0.0,27.5
2025-02-26,0.0,27.6
2025-02-27,0.0,28.2
2025-02-28,23.3,27.8
2025-03-01,0.0,29.0
2025-03-02,0.0,28.1
2025-03-03,0.0,28.7
2025-03-04,0.0,28.4
2025-03-05,0.0,27.9
2025-03-06,4.2,29.0
2025-03-07,0.0,28.7
2025-03-08,33.6,28.4
2025-03-09,0.0,28.4
2025-03-10,0.0,27.7
2025-03-11,0.0,28.5
2025-03-12,0.0,28.9
2025-03-13,0.0,28.2
2025-03-14,0.0,27.5
2025-03-15,0.0,27.9
2025-03-16,1.4,28.6
2025-03-17,0.0,28.4
2025-03-18,0.0,28.1
2025-03-19,0.0,27.8
2025-03-20,0.0,28.9
2025-03-21,0.0,28.0
2025-03-22,0.0,28.8
2025-03-23,5.6,28.4
2025-03-24,0.0,29.4
2025-03-25,7.8,28.2
2025-03-26,0.0,28.4
2025-03-27,0.0,28.5
2025-03-28,0.0,28.7
2025-03-29,21.8,27.9
2025-03-30,0.0,28.3
2025-03-31,0.0,28.4
2025-04-01,10.3,28.1
2025-04-02,0.0,29.1
2025-04-03,0.0,28.9
2025-04-04,0.0,29.9
2025-04-05,1.6,28.7
2025-04-06,0.0,28.2
2025-04-07,3.5,28.4
2025-04-08,13.8,29.3
2025-04-09,0.0,28.7
2025-04-10,0.0,28.5
2025-04-11,19.8,29.4
2025-04-12,0.0,28.7
2025-04-13,0.0,29.2
2025-04-14,0.0,28.8
2025-04-15,9.1,28.2
2025-04-16,22.1,28.9
2025-04-17,0.0,30.2
2025-04-18,0.0,29.0
2025-04-19,0.0,29.0
2025-04-20,0.0,28.4
2025-04-21,0.0,29.9
2025-04-22,20.3,29.6
2025-04-23,0.0,29.5
2025-04-24,2.9,29.3
2025-04-25,0.0,29.5
2025-04-26,10.6,28.5
2025-04-27,0.0,28.5
2025-04-28,28.1,29.1
2025-04-29,0.0,28.9
2025-04-30,0.0,28.7
2025-05-01,0.0,29.5
2025-05-02,0.0,29.6
2025-05-03,11.1,28.1
2025-05-04,0.0,28.3
2025-05-05,0.0,29.2
2025-05-06,0.0,28.4
2025-05-07,17.9,28.8
2025-05-08,5.0,28.3
2025-05-09,15.8,29.0
2025-05-10,0.0,29.3
2025-05-11,15.3,28.7
2025-05-12,0.0,29.0
2025-05-13,0.0,28.8
2025-05-14,0.0,28.5
2025-05-15,14.4,28.4
2025-05-16,0.0,28.8
2025-05-17,0.0,29.2
2025-05-18,0.0,28.9
2025-05-19,22.1,29.2
2025-05-20,0.0,29.1
2025-05-21,0.0,29.0
2025-05-22,28.3,29.2
2025-05-23,0.0,29.3
2025-05-24,0.0,29.2
2025-05-25,12.6,28.5
2025-05-26,0.0,30.0
2025-05-27,15.2,28.7
2025-05-28,2.9,28.5
2025-05-29,0.0,28.6
2025-05-30,0.0,28.4
2025-05-31,0.0,28.2
2025-06-01,5.9,28.8
2025-06-02,11.6,28.3
2025-06-03,0.0,28.3
2025-06-04,0.0,28.8
2025-06-05,7.3,29.3
2025-06-06,0.0,27.8
2025-06-07,0.0,29.3
2025-06-08,0.0,28.8
2025-06-09,0.0,29.4
2025-06-10,0.0,28.5
2025-06-11,0.0,28.4
2025-06-12,0.0,28.2
2025-06-13,21.0,29.2
2025-06-14,10.2,29.2
2025-06-15,35.3,28.2
2025-06-16,14.7,28.7
2025-06-17,0.0,28.1
2025-06-18,0.0,28.1
2025-06-19,11.6,28.3
2025-06-20,24.1,29.1
2025-06-21,55.8,27.3
2025-06-22,0.0,28.8
2025-06-23,13.6,27.5
2025-06-24,0.0,28.0
2025-06-25,0.0,28.6
2025-06-26,9.0,29.6
2025-06-27,0.0,28.5
2025-06-28,16.6,28.1
2025-06-29,0.0,29.0
2025-06-30,0.0,27.9
2025-07-01,0.0,27.9
2025-07-02,0.0,28.8
2025-07-03,0.0,28.3
2025-07-04,0.0,27.6
2025-07-05,6.0,28.6
2025-07-06,27.9,27.8
2025-07-07,0.0,26.3
2025-07-08,2.4,27.5
2025-07-09,0.0,27.1
2025-07-10,0.0,27.3
2025-07-11,4.4,28.3
2025-07-12,0.9,26.4
2025-07-13,0.0,27.8
2025-07-14,0.0,28.1
2025-07-15,29.8,27.6
2025-07-16,0.0,26.7
2025-07-17,8.8,27.3
2025-07-18,0.0,27.9
2025-07-19,0.0,27.7
2025-07-20,6.6,27.9
2025-07-21,13.6,27.7
2025-07-22,0.0,28.5
2025-07-23,0.0,27.1
2025-07-24,0.0,27.4
2025-07-25,21.5,27.5
2025-07-26,0.0,26.5
2025-07-27,10.6,27.0
2025-07-28,13.0,26.5
2025-07-29,0.0,27.4
2025-07-30,0.0,28.1
2025-07-31,6.7,27.0
2025-08-01,5.9,27.1
2025-08-02,0.0,27.6
2025-08-03,10.1,26.0
2025-08-04,4.3,26.2
2025-08-05,3.1,26.3
2025-08-06,0.0,26.4
2025-08-07,20.3,26.4
2025-08-08,0.0,27.3
2025-08-09,0.0,26.3
2025-08-10,0.0,26.4
2025-08-11,4.1,26.7
2025-08-12,0.8,26.1
2025-08-13,0.0,26.7
2025-08-14,0.0,26.1
2025-08-15,15.1,27.4
2025-08-16,27.5,26.1
2025-08-17,4.3,27.1
2025-08-18,4.6,25.8
2025-08-19,0.0,27.2
2025-08-20,0.0,26.6
2025-08-21,5.1,25.9
2025-08-22,37.4,26.5
2025-08-23,0.0,26.6
2025-08-24,0.0,27.1
2025-08-25,10.4,26.5
2025-08-26,2.4,25.6
2025-08-27,13.8,26.5
2025-08-28,0.0,27.1
2025-08-29,2.6,25.7
2025-08-30,13.8,26.5
2025-08-31,0.0,25.7
2025-09-01,13.3,25.7
2025-09-02,13.5,25.1
2025-09-03,0.0,26.9
2025-09-04,0.0,26.8
2025-09-05,49.9,26.4
2025-09-06,0.0,25.2
2025-09-07,6.3,25.9
2025-09-08,0.0,25.7
2025-09-09,14.4,25.6
2025-09-10,0.0,26.0
2025-09-11,0.0,25.9
2025-09-12,2.5,25.9
2025-09-13,9.1,26.1
2025-09-14,4.2,26.5
2025-09-15,4.1,25.0
2025-09-16,10.6,25.8
2025-09-17,30.3,25.7
2025-09-18,19.7,26.0
2025-09-19,6.1,24.7
2025-09-20,0.0,25.1
2025-09-21,17.3,25.9
2025-09-22,37.7,25.6
2025-09-23,2.2,25.0
2025-09-24,0.0,25.3
2025-09-25,6.4,25.1
2025-09-26,13.1,25.5
2025-09-27,19.9,25.3
2025-09-28,5.0,24.6
2025-09-29,0.0,25.3
2025-09-30,0.0,25.1
2025-10-01,0.0,25.0
2025-10-02,30.4,25.2
2025-10-03,0.0,25.6
2025-10-04,14.3,26.2
2025-10-05,15.0,24.8
2025-10-06,1.6,25.4
2025-10-07,8.7,25.0
2025-10-08,5.6,26.6
2025-10-09,0.0,25.3
2025-10-10,0.0,25.5
2025-10-11,0.0,24.7
2025-10-12,0.0,25.4
2025-10-13,10.6,24.8
2025-10-14,9.0,25.6
2025-10-15,8.7,25.3
