PairID,Category,EventCode,Month,Season,Matrix,Station,Latitude,Longitude,Depth_cm,BottleType,InputZone,pH,EC_uScm,TDS_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,Cl_mgL,SO4_mgL,NO3_mgL,d15N_NO3_permil,d18O_NO3_permil,d2H_H2O_permil,d18O_H2O_permil,SampleID,QC_Type,TargetSampleID
E7-END-QC1,QC,E7-END,21,dry_return,groundwater,BH3,10.872,-0.908,,A,downgradient,7.2,1403.0,898.0,111.55,20.27,102.68,6.66,,,,,,,,,E7-END-QC1-A,duplicate,E7-END-BH3-A
E7-END-QC1,QC,E7-END,21,dry_return,groundwater,BH3,10.872,-0.908,,U,downgradient,7.2,1403.0,898.0,,,,,314.54,57.84,71.54,199.96,,,,,E7-END-QC1-U,duplicate,E7-END-BH3-U
E4-POST2-BLANK1,QC,E4-POST2,11,wet,blank_water,BLANK,,,,A,,6.339992287120471,18.5739131470926,,0.2001770375021193,0.237467460777411,0.2256470565146274,0.0183442196403434,,,,,,,,,E4-POST2-QC1-BLANK,equipment_blank,
E4-POST2-BLANK1,QC,E4-POST2,11,wet,blank_water,BLANK,,,,A,,6.487295085076929,35.707265859649354,,0.482122595677562,0.2705322085638686,0.1017363712487979,0.0066973612025271,,,,,,,,,E4-POST2-QC2-BLANK,equipment_blank,
E4-POST2-BLANK2,QC,E4-POST2,11,wet,blank_water,BLANK,,,,U,,6.378659941046941,18.14141249632751,,,,,,0.7788098779577506,0.4334087714140506,0.5808394872304553,0.0266258911656891,,,,,E4-POST2-QC3-BLANK,equipment_blank,
E4-POST2-BLANK2,QC,E4-POST2,11,wet,blank_water,BLANK,,,,U,,6.542256738455895,16.24067534225837,,,,,,1.6076290903868935,0.3467777862045075,0.5983094123417703,0.2236237139786409,,,,,E4-POST2-QC4-BLANK,equipment_blank,
E6-LATE-BLANK1,QC,E6-LATE,17,wet_late,blank_water,BLANK,,,,A,,6.379051067092357,30.29582132835816,,0.1320667955428518,0.1051561602858485,0.1862666368797754,0.006871367772396,,,,,,,,,E6-LATE-QC1-BLANK,equipment_blank,
E6-LATE-BLANK1,QC,E6-LATE,17,wet_late,blank_water,BLANK,,,,A,,6.058886788580186,28.15895009399497,,0.3940376908329647,0.2126296965687462,0.0041818409384285,0.0217667399580536,,,,,,,,,E6-LATE-QC2-BLANK,equipment_blank,
E6-LATE-BLANK2,QC,E6-LATE,17,wet_late,blank_water,BLANK,,,,U,,6.353165240244301,31.828026733640463,,,,,,0.9679787363594944,0.0042507805346767,0.4826967854590934,0.3091238293161349,,,,,E6-LATE-QC3-BLANK,equipment_blank,
E6-LATE-BLANK2,QC,E6-LATE,17,wet_late,blank_water,BLANK,,,,U,,6.516399111282712,23.13028232416187,,,,,,1.167427175462728,0.6255679817263674,0.4510481954375042,0.3212008287831349,,,,,E6-LATE-QC4-BLANK,equipment_blank,
E1-DRY-AWQC,QC,E1-DRY,5,dry,groundwater,AW3,,,,A,supplementary,7.2,813.0,663.0,96.3,25.04,40.46,9.7,,,,,,,,,E1-DRY-AWQC-A,duplicate,E1-DRY-AW3-A
E1-DRY-AWQC,QC,E1-DRY,5,dry,groundwater,AW3,,,,U,supplementary,7.2,813.0,663.0,,,,,324.13,69.49,41.24,42.89,,,,,E1-DRY-AWQC-U,duplicate,E1-DRY-AW3-U
E5-PEAK-AWQC,QC,E5-PEAK,13,wet_peak,groundwater,AW3,,,,A,supplementary,6.6,991.0,681.0,85.27,26.84,53.86,7.38,,,,,,,,,E5-PEAK-AWQC-A,duplicate,E5-PEAK-AW3-A
E5-PEAK-AWQC,QC,E5-PEAK,13,wet_peak,groundwater,AW3,,,,U,supplementary,6.6,991.0,681.0,,,,,262.46,35.22,76.79,127.69,,,,,E5-PEAK-AWQC-U,duplicate,E5-PEAK-AW3-U
E7-END-AWQC,QC,E7-END,21,dry_return,groundwater,AW3,,,,A,supplementary,6.9,1096.0,647.0,88.38,24.02,58.83,2.02,,,,,,,,,E7-END-AWQC-A,duplicate,E7-END-AW3-A
E7-END-AWQC,QC,E7-END,21,dry_return,groundwater,AW3,,,,U,supplementary,6.9,1096.0,647.0,,,,,269.51,84.21,82.09,28.42,,,,,E7-END-AWQC-U,duplicate,E7-END-AW3-U
E4-POST2-L3-30-QC,QC,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,30.0,A,low_input,5.9,457.0,358.0,47.9,15.19,32.68,1.78,,,,,,,,,E4-POST2-L3-30-QC-A,,
E4-POST2-L3-30-QC,QC,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,30.0,U,low_input,5.9,457.0,358.0,,,,,159.82,10.68,4.93,76.22,,,,,E4-POST2-L3-30-QC-U,,
E4-POST2-L4-60-QC,QC,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,60.0,A,high_input_manure,5.7376375439924,1109.150844839012,,109.60632855045034,31.339843195024635,17.788352760990605,7.1510550921935625,,,,,,,,,E4-POST2-L4-60-QC-A,,
E4-POST2-L4-60-QC,QC,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,60.0,U,high_input_manure,5.7376375439924,1109.150844839012,,,,,,210.04830984018733,21.3008861124086,52.63877539149294,344.5457393014847,,,,,E4-POST2-L4-60-QC-U,,
E3-POST1-L3-60-QC,QC,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,60.0,A,low_input,5.825419126744095,333.58817873901137,,31.06474325972149,9.630255473607283,32.61361244201117,3.574443867933849,,,,,,,,,E3-POST1-L3-60-QC-A,,
E3-POST1-L3-60-QC,QC,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,60.0,U,low_input,5.825419126744095,333.58817873901137,,,,,,75.57864574171924,42.20391393621161,18.050188173773986,32.31813923328773,,,,,E3-POST1-L3-60-QC-U,,
E3-POST1-L4-30-QC,QC,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,30.0,A,high_input_manure,5.8,866.0,678.0,71.92,24.65,26.36,4.25,,,,,,,,,E3-POST1-L4-30-QC-A,,
E3-POST1-L4-30-QC,QC,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,30.0,U,high_input_manure,5.8,866.0,678.0,,,,,138.92,22.81,15.63,369.64,,,,,E3-POST1-L4-30-QC-U,,
E2-PRE-L3-60-QC,QC,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,60.0,A,low_input,5.9,331.0,286.0,36.26,13.19,34.17,3.36,,,,,,,,,E2-PRE-L3-60-QC-A,,
E2-PRE-L3-60-QC,QC,E2-PRE,9,transition,soil_water,L3,10.885,-0.868,60.0,U,low_input,5.9,331.0,286.0,,,,,121.85,39.43,23.61,12.51,,,,,E2-PRE-L3-60-QC-U,,
E2-PRE-L4-60-QC,QC,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,60.0,A,high_input_manure,5.858465728544273,431.5480296724275,,44.399324201195945,16.28545654410042,12.011109503135955,15.26349407252764,,,,,,,,,E2-PRE-L4-60-QC-A,,
E2-PRE-L4-60-QC,QC,E2-PRE,9,transition,soil_water,L4,10.891,-0.89,60.0,U,high_input_manure,5.858465728544273,431.5480296724275,,,,,,40.29746995687719,86.27748088459,18.97265079681584,77.2344597862527,,,,,E2-PRE-L4-60-QC-U,,
